episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.0,200,0,0,0,
2,400,0.0,200,0,0.0,200,0,0,0,
3,600,0.0,200,0,0.0,200,0,0,0,
4,800,0.0,200,0,0.0,200,0,0,0,
5,1000,0.0,200,0,0.0,200,0,1,1,4.0116529476108553e-07
6,1200,0.0,200,0,0.0,200,0,74,201,1.03475148449661e-08
7,1400,0.0,200,0,0.0,200,0,84,401,5.7463922509271015e-09
8,1600,0.0,200,0,0.0,200,0,85,601,3.65140406799469e-09
9,1800,0.0,200,0,0.0,200,0,77,801,5.941693359545752e-09
10,2000,0.0,200,0,0.0,200,0,88,1001,4.003006814912169e-09
11,2200,0.0,200,0,0.0,200,0,88,1201,2.982708746657181e-09
12,2400,0.0,200,0,0.0,200,0,85,1401,3.3628890783177212e-09
13,2600,0.0,200,0,0.0,200,0,93,1601,2.9028650594398187e-09
14,2800,0.0,200,0,0.0,200,0,100,1801,3.725138864041355e-09
15,3000,0.0,200,0,0.0,200,0,98,2001,2.919438246706818e-09
16,3200,0.0,200,0,0.0,200,0,108,2201,9.061311700975239e-09
17,3400,0.0,200,0,0.0,200,0,106,2401,3.0160254294031574e-09
18,3600,0.0,200,0,0.0,200,0,104,2601,2.8924249662054535e-09
19,3800,0.0,200,0,0.0,200,0,119,2801,5.945916647931426e-09
20,4000,0.0,200,0,0.0,200,0,121,3001,2.7433628702056012e-09
21,4200,0.0,200,0,0.0,200,0,121,3201,9.655027000121663e-09
22,4400,0.0,200,0,0.0,200,0,117,3401,6.126532614558755e-09
23,4600,0.0,200,0,0.0,200,0,121,3601,2.3846078445188823e-09
24,4800,0.0,200,0,0.0,200,0,111,3801,4.5449759511484444e-09
25,5000,0.0,200,0,0.0,200,0,108,4001,6.823099418795664e-09
26,5200,0.0,200,0,0.0,200,0,116,4201,9.686841551115322e-09
27,5400,0.0,200,0,0.0,200,0,121,4401,1.3743930438181451e-08
28,5600,0.0,200,0,0.0,200,0,127,4601,2.551907574144252e-09
29,5800,0.0,200,0,0.0,200,0,114,4801,3.031258799524039e-09
30,6000,0.0,200,0,0.0,200,0,113,5001,2.008349575532975e-08
31,6200,0.0,200,0,0.0,200,0,100,5201,1.3128507170279136e-08
32,6400,0.0,200,0,0.0,200,0,110,5401,9.49696499219499e-09
33,6600,0.0,200,0,0.0,200,0,95,5601,1.8388750522291275e-09
34,6800,0.0,200,0,0.0,200,0,110,5801,1.773591939979724e-08
35,7000,0.0,200,0,0.0,200,0,92,6001,1.3452507996447594e-09
36,7200,0.0,200,0,0.0,200,0,96,6201,4.280570919945603e-08
37,7400,0.0,200,0,0.0,200,0,89,6401,4.308264180963306e-07
38,7600,0.0,200,0,0.0,200,0,94,6601,1.014736628057733e-09
39,7800,0.0,200,0,0.0,200,0,86,6801,1.0891938462265216e-09
40,8000,0.0,200,0,0.0,200,0,75,7001,7.06749645473792e-08
41,8200,0.0,200,0,0.0,200,0,85,7201,8.829744713167997e-10
42,8400,0.0,200,0,0.0,200,0,78,7401,6.052157885960696e-08
43,8600,0.0,200,0,0.0,200,0,67,7601,5.796935198532083e-08
44,8800,0.0,200,0,0.0,200,0,64,7801,5.767853306082316e-09
45,9000,0.0,200,0,0.0,200,0,67,8001,1.012384953646972e-09
46,9200,0.0,200,0,0.0,200,0,70,8201,4.5471795218077204e-09
47,9400,0.0,200,0,0.0,200,0,71,8401,2.873281168547237e-08
48,9600,0.0,200,0,0.0,200,0,73,8601,5.385542678482125e-08
49,9800,0.0,200,0,0.0,200,0,77,8801,4.651772300690027e-09
50,10000,0.0,200,0,0.0,200,0,75,9001,1.6817535808399953e-08
51,10200,0.0,200,0,0.0,200,0,89,9201,4.020380917069133e-09
52,10400,0.0,200,0,0.0,200,0,94,9401,3.4926376457633523e-08
53,10600,0.0,200,0,0.0,200,0,95,9601,8.116176175576584e-09
54,10800,0.0,200,0,0.0,200,0,100,9801,6.019426734837907e-08
55,11000,0.0,200,0,0.0,200,0,103,10001,7.524023626359622e-10
56,11200,0.0,200,0,0.0,200,0,103,10201,1.3081058458652706e-09
57,11400,0.0,200,0,0.0,200,0,112,10401,9.876794937468958e-10
58,11600,0.0,200,0,0.0,200,0,114,10601,3.269168269426359e-09
59,11800,0.0,200,0,0.0,200,0,116,10801,1.0686890261624171e-09
60,12000,0.0,200,0,0.0,200,0,112,11001,1.2531903292867241e-09
61,12200,0.0,200,0,0.0,200,0,111,11201,1.2719401087935012e-09
62,12400,0.0,200,0,0.0,200,0,124,11401,1.7491307291450653e-09
63,12600,0.0,200,0,0.0,200,0,123,11601,6.988860601353508e-09
64,12800,0.0,200,0,0.0,200,0,115,11801,2.697774448279233e-09
65,13000,0.0,200,0,0.0,200,0,121,12001,4.466523595425542e-09
66,13200,0.0,200,0,0.0,200,0,108,12201,9.816105261961638e-09
67,13400,0.0,200,0,0.0,200,0,118,12401,6.986665135322312e-10
68,13600,0.0,200,0,0.0,200,0,111,12601,9.697239677919356e-10
69,13800,0.0,200,0,0.0,200,0,100,12801,7.682548641696485e-08
70,14000,0.0,200,0,0.0,200,0,91,13001,2.1981804820825346e-08
71,14200,0.0,200,0,0.0,200,0,88,13201,3.57961038588428e-09
72,14400,0.0,200,0,0.0,200,0,99,13401,3.796539083111838e-09
73,14600,0.0,200,0,0.0,200,0,92,13601,1.1944991662460325e-08
74,14800,0.0,200,0,0.0,200,0,92,13801,1.0668970595872906e-08
75,15000,0.0,200,0,0.0,200,0,87,14001,6.18024564857933e-09
76,15200,0.0,200,0,0.0,200,0,89,14201,6.695714205307013e-09
