episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.0,0,
2,400,0.0,200,0,0.0,0,
3,600,0.0,200,0,0.0,0,
4,800,0.0,200,0,0.0,0,
5,1000,0.0,200,0,0.0,1,8.972643854576745e-07
6,1200,0.0,200,0,0.0,201,7.714968219829643e-09
7,1400,0.0,200,0,0.0,401,5.333265384876995e-09
8,1600,0.0,200,0,0.0,601,3.730344033670008e-09
9,1800,0.0,200,0,0.0,801,2.337412041697462e-09
10,2000,0.0,200,0,0.0,1001,2.235024831875876e-09
11,2200,0.0,200,0,0.0,1201,9.315921367658575e-10
12,2400,0.0,200,0,0.0,1401,8.04116506714081e-09
13,2600,0.0,200,0,0.0,1601,1.7292408616143007e-09
14,2800,0.0,200,0,0.0,1801,1.441370911514639e-09
15,3000,0.0,200,0,0.0,2001,3.439005968886022e-09
16,3200,0.0,200,0,0.0,2201,1.9734245348956847e-09
17,3400,0.0,200,0,0.0,2401,5.703294281289573e-09
18,3600,0.0,200,0,0.0,2601,2.1368613545291737e-08
19,3800,0.0,200,0,0.0,2801,3.706696061200887e-09
20,4000,0.0,200,0,0.0,3001,1.6505026678714785e-08
21,4200,0.0,200,0,0.0,3201,6.7190843999753724e-09
22,4400,0.0,200,0,0.0,3401,2.9263946821345144e-09
23,4600,0.0,200,0,0.0,3601,3.393450143107657e-08
24,4800,0.0,200,0,0.0,3801,1.1905071373163878e-09
25,5000,0.0,200,0,0.0,4001,2.7754265552459856e-09
26,5200,0.0,200,0,0.0,4201,4.6940269449180505e-09
27,5400,0.0,200,0,0.0,4401,5.6228275369107905e-09
28,5600,0.0,200,0,0.0,4601,2.688752998025734e-09
29,5800,0.0,200,0,0.0,4801,3.1319806748086876e-09
30,6000,0.0,200,0,0.0,5001,4.317629365147013e-09
31,6200,0.0,200,0,0.0,5201,1.3072527504931486e-09
32,6400,0.0,200,0,0.0,5401,1.5776953077306644e-09
33,6600,0.0,200,0,0.0,5601,7.752286812490183e-09
34,6800,0.0,200,0,0.0,5801,8.163314468845329e-10
35,7000,0.0,200,0,0.0,6001,6.056450452263107e-09
36,7200,0.0,200,0,0.0,6201,8.446731647460126e-10
37,7400,0.0,200,0,0.0,6401,7.529443180054329e-10
38,7600,0.0,200,0,0.0,6601,4.366890848928051e-09
39,7800,0.0,200,0,0.0,6801,7.314076455600116e-09
40,8000,0.0,200,0,0.0,7001,7.58864693306549e-10
41,8200,0.0,200,0,0.0,7201,8.46947667554332e-09
42,8400,0.0,200,0,0.0,7401,4.148405174930758e-09
43,8600,0.0,200,0,0.0,7601,1.365488139226656e-10
44,8800,0.0,200,0,0.0,7801,4.832216848882354e-10
45,9000,0.0,200,0,0.0,8001,8.92925108852971e-11
46,9200,0.0,200,0,0.0,8201,3.9547404240281026e-10
47,9400,0.0,200,0,0.0,8401,4.954080479180334e-10
48,9600,0.0,200,0,0.0,8601,5.893959764691203e-10
49,9800,0.0,200,0,0.0,8801,5.488364762662457e-10
50,10000,0.0,200,0,0.0,9001,1.1130347754573222e-09
51,10200,0.0,200,0,0.0,9201,3.768352740962655e-09
52,10400,0.0,200,0,0.0,9401,1.3165638579337724e-09
53,10600,0.0,200,0,0.0,9601,3.783941493473719e-10
54,10800,0.0,200,0,0.0,9801,2.5986948704037616e-10
55,11000,0.0,200,0,0.0,10001,7.464358020570216e-10
56,11200,0.0,200,0,0.0,10201,1.935994697888077e-10
57,11400,0.0,200,0,0.0,10401,7.258814105348677e-10
58,11600,0.0,200,0,0.0,10601,2.142956256889761e-09
59,11800,0.0,200,0,0.0,10801,1.0522856197514585e-10
60,12000,0.0,200,0,0.0,11001,3.017795180415561e-10
61,12200,0.0,200,0,0.0,11201,6.978905231491694e-10
62,12400,0.0,200,0,0.0,11401,2.338153559655609e-10
63,12600,0.0,200,0,0.0,11601,1.6695625992824148e-09
64,12800,0.0,200,0,0.0,11801,7.737227525339563e-11
65,13000,0.0,200,0,0.0,12001,5.160321947528246e-09
66,13200,0.0,200,0,0.0,12201,3.4399033621568265e-10
67,13400,0.0,200,0,0.0,12401,7.648155719852667e-11
68,13600,0.0,200,0,0.0,12601,2.4621562566551347e-09
69,13800,0.0,200,0,0.0,12801,4.6421358423920367e-10
70,14000,0.0,200,0,0.0,13001,8.038055776538044e-10
71,14200,0.0,200,0,0.0,13201,3.483613397747831e-10
72,14400,0.0,200,0,0.0,13401,3.544248006193129e-09
73,14600,0.0,200,0,0.0,13601,3.290514527520827e-10
74,14800,0.0,200,0,0.0,13801,3.2269908967208494e-10
75,15000,0.0,200,0,0.0,14001,2.287508626963586e-09
76,15200,0.0,200,0,0.0,14201,1.9023946862262164e-09
77,15400,0.0,200,0,0.0,14401,1.555057610458377e-10
78,15600,0.0,200,0,0.0,14601,6.687152498408011e-10
79,15800,0.0,200,0,0.0,14801,3.2383679071656957e-10
80,16000,0.0,200,0,0.0,15001,1.361940005217832e-10
81,16200,0.0,200,0,0.0,15201,4.5777145962766497e-10
82,16400,0.0,200,0,0.0,15401,2.7841333405387303e-11
83,16600,0.0,200,0,0.0,15601,1.0768629044033418e-10
84,16800,0.0,200,0,0.0,15801,2.9723107308754493e-10
85,17000,0.0,200,0,0.0,16001,5.204832745353549e-11
86,17200,0.0,200,0,0.0,16201,8.137197859969802e-11
87,17400,0.0,200,0,0.0,16401,3.4849477470455525e-11
88,17600,0.0,200,0,0.0,16601,4.5300910245238413e-10
89,17800,0.0,200,0,0.0,16801,2.129736838274443e-11
90,18000,0.0,200,0,0.0,17001,7.163510895580316e-10
