episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.0,200,0,0,0,
2,400,-200.0,200,0,0.0,200,0,0,0,
3,600,-200.0,200,0,0.0,200,0,0,0,
4,800,-200.0,200,0,0.0,200,0,0,0,
5,1000,-200.0,200,0,0.0,200,0,1,1,0.5007510185241699
6,1200,-200.0,200,0,0.0,200,0,31,201,5.616677299258299e-05
7,1400,-200.0,200,0,0.0,200,0,0,401,8.419633377343416e-05
8,1600,-200.0,200,0,0.0,200,0,0,601,2.77280923910439e-05
9,1800,-200.0,200,0,0.0,200,0,0,801,2.239636523881927e-05
10,2000,-200.0,200,0,0.0,200,0,0,1001,8.771299690124579e-06
11,2200,-200.0,200,0,0.0,200,0,0,1201,1.2265716577530839e-05
12,2400,-200.0,200,0,0.0,200,0,0,1401,1.0831977306224871e-05
13,2600,-200.0,200,0,0.0,200,0,0,1601,8.492401320836507e-06
14,2800,-200.0,200,0,0.0,200,0,0,1801,8.459831406071316e-06
15,3000,-200.0,200,0,0.0,200,0,0,2001,7.19204990673461e-06
16,3200,-200.0,200,0,0.0,200,0,0,2201,7.496932994399685e-06
17,3400,-200.0,200,0,0.0,200,0,0,2401,4.955082658852916e-06
18,3600,-200.0,200,0,0.0,200,0,0,2601,3.6509945857687853e-06
19,3800,-200.0,200,0,0.0,200,0,0,2801,3.319888492114842e-06
20,4000,-200.0,200,0,0.0,200,0,0,3001,8.395580152864568e-06
21,4200,-200.0,200,0,0.0,200,0,0,3201,1.2873457308160141e-05
22,4400,-200.0,200,0,0.0,200,0,0,3401,7.771451237204019e-06
23,4600,-200.0,200,0,0.0,200,0,0,3601,1.2631941899599042e-05
24,4800,-200.0,200,0,0.0,200,0,0,3801,4.753343091579154e-06
25,5000,-200.0,200,0,0.0,200,0,0,4001,6.53006691209157e-06
26,5200,-200.0,200,0,0.0,200,0,0,4201,1.1587751032493543e-05
27,5400,-200.0,200,0,0.0,200,0,0,4401,9.315741408499889e-06
28,5600,-200.0,200,0,0.0,200,0,0,4601,4.276021172699984e-06
29,5800,-200.0,200,0,0.0,200,0,0,4801,5.597805738943862e-06
30,6000,-200.0,200,0,0.0,200,0,0,5001,7.52971027395688e-06
31,6200,-200.0,200,0,0.0,200,0,0,5201,1.262544174096547e-05
32,6400,-200.0,200,0,0.0,200,0,0,5401,1.4004722288518678e-05
33,6600,-200.0,200,0,0.0,200,0,0,5601,1.8093589460477233e-05
34,6800,-200.0,200,0,0.0,200,0,0,5801,1.6661459085298702e-05
35,7000,-200.0,200,0,0.0,200,0,0,6001,9.97047118289629e-06
36,7200,-200.0,200,0,0.0,200,0,0,6201,8.906007678888272e-06
37,7400,-200.0,200,0,0.0,200,0,0,6401,1.6167570720426738e-05
38,7600,-200.0,200,0,0.0,200,0,0,6601,1.5147232261369936e-05
39,7800,-200.0,200,0,0.0,200,0,0,6801,1.5558147424599156e-05
40,8000,-200.0,200,0,0.0,200,0,0,7001,2.0841900550294667e-05
41,8200,-200.0,200,0,0.0,200,0,0,7201,1.7081911209970713e-05
42,8400,-200.0,200,0,0.0,200,0,0,7401,1.8356848158873618e-05
43,8600,-200.0,200,0,0.0,200,0,0,7601,2.806694647006225e-05
44,8800,-200.0,200,0,0.0,200,0,0,7801,1.3809485608362593e-05
45,9000,-200.0,200,0,0.0,200,0,0,8001,4.1320625314256176e-05
46,9200,-200.0,200,0,0.0,200,0,0,8201,2.6870555302593857e-05
47,9400,-200.0,200,0,0.0,200,0,0,8401,9.532390322419815e-06
48,9600,-200.0,200,0,0.0,200,0,0,8601,5.4449694289360195e-05
49,9800,-200.0,200,0,0.0,200,0,0,8801,1.407215040671872e-05
50,10000,-200.0,200,0,0.0,200,0,0,9001,3.9927224861457944e-05
51,10200,-200.0,200,0,0.0,200,0,0,9201,1.862874523794744e-05
52,10400,-200.0,200,0,0.0,200,0,0,9401,4.967471249983646e-05
53,10600,-200.0,200,0,0.0,200,0,0,9601,1.796816104615573e-05
54,10800,-200.0,200,0,0.0,200,0,0,9801,2.383604078204371e-05
55,11000,-200.0,200,0,0.0,200,0,0,10001,2.236988984805066e-05
56,11200,-200.0,200,0,0.0,200,0,0,10201,3.967146767536178e-05
57,11400,-200.0,200,0,0.0,200,0,0,10401,2.884021887439303e-05
58,11600,-200.0,200,0,0.0,200,0,0,10601,4.5497436076402664e-05
59,11800,-200.0,200,0,0.0,200,0,0,10801,3.063153417315334e-05
60,12000,-200.0,200,0,0.0,200,0,0,11001,1.944241375895217e-05
61,12200,-200.0,200,0,0.0,200,0,0,11201,6.7868900259782095e-06
62,12400,-200.0,200,0,0.0,200,0,0,11401,3.0393397537409328e-05
63,12600,-200.0,200,0,0.0,200,0,0,11601,3.0639348551630974e-05
64,12800,-200.0,200,0,0.0,200,0,0,11801,3.080252281506546e-05
65,13000,-200.0,200,0,0.0,200,0,0,12001,2.8793743695132434e-05
66,13200,-200.0,200,0,0.0,200,0,0,12201,2.7163396225660108e-05
67,13400,-200.0,200,0,0.0,200,0,0,12401,4.98504850838799e-05
68,13600,-200.0,200,0,0.0,200,0,0,12601,3.773438947973773e-05
69,13800,-200.0,200,0,0.0,200,0,0,12801,0.00012037398118991405
70,14000,-200.0,200,0,0.0,200,0,0,13001,8.340345812030137e-05
71,14200,-200.0,200,0,0.0,200,0,0,13201,1.4634395483881235e-05
72,14400,-200.0,200,0,0.0,200,0,0,13401,9.265967491955962e-06
73,14600,-200.0,200,0,0.0,200,0,0,13601,2.309852061443962e-05
74,14800,-200.0,200,0,0.0,200,0,0,13801,1.8825518054654822e-05
75,15000,-200.0,200,0,0.0,200,0,0,14001,1.9107905245618895e-05
76,15200,-200.0,200,0,0.0,200,0,0,14201,5.563882223214023e-05
77,15400,-200.0,200,0,0.0,200,0,0,14401,4.758304203278385e-05
78,15600,-200.0,200,0,0.0,200,0,0,14601,1.4426432244363241e-05
79,15800,-200.0,200,0,0.0,200,0,0,14801,9.389696060679853e-05
80,16000,-200.0,200,0,0.0,200,0,0,15001,5.606826380244456e-05
81,16200,-200.0,200,0,0.0,200,0,0,15201,5.447044168249704e-05
82,16400,-200.0,200,0,0.0,200,0,0,15401,2.5600340450182557e-05
83,16600,-200.0,200,0,0.0,200,0,0,15601,3.60410958819557e-05
84,16800,-200.0,200,0,0.0,200,0,0,15801,6.972797564230859e-05
85,17000,-200.0,200,0,0.0,200,0,0,16001,4.7622688725823537e-05
86,17200,-200.0,200,0,0.0,200,0,0,16201,6.320621469058096e-05
87,17400,-200.0,200,0,0.0,200,0,0,16401,3.796610690187663e-05
88,17600,-200.0,200,0,0.0,200,0,0,16601,2.6541392799117602e-05
89,17800,-200.0,200,0,0.0,200,0,0,16801,2.434297675790731e-05
90,18000,-200.0,200,0,0.0,200,0,0,17001,2.5894458303810097e-05
91,18200,-200.0,200,0,0.0,200,0,0,17201,7.699009438510984e-05
92,18400,-200.0,200,0,0.0,200,0,0,17401,7.197655941126868e-05
93,18600,-200.0,200,0,0.0,200,0,0,17601,5.749210686190054e-05
94,18800,-200.0,200,0,0.0,200,0,0,17801,4.603744309861213e-05
95,19000,-200.0,200,0,0.0,200,0,0,18001,3.1855935958446935e-05
96,19200,-200.0,200,0,0.0,200,0,0,18201,6.883117748657241e-05
97,19400,-200.0,200,0,0.0,200,0,0,18401,2.3322416382143274e-05
98,19600,-200.0,200,0,0.0,200,0,0,18601,4.151558823650703e-05
99,19800,-200.0,200,0,0.0,200,0,0,18801,3.8068697904236615e-05
100,20000,-200.0,200,0,0.0,200,0,0,19001,6.32020746706985e-05
101,20200,-200.0,200,0,0.0,200,0,0,19201,0.00012666032125707716
102,20400,-200.0,200,0,0.0,200,0,0,19401,2.914679134846665e-05
103,20600,-200.0,200,0,0.0,200,0,0,19601,8.541835268260911e-05
104,20800,-200.0,200,0,0.0,200,0,0,19801,8.838987560011446e-05
105,21000,-200.0,200,0,0.0,200,0,0,20001,2.1838321117684245e-05
106,21200,-200.0,200,0,0.0,200,0,0,20201,1.7897442376124673e-05
107,21400,-200.0,200,0,0.0,200,0,0,20401,2.9085133064654656e-05
108,21600,-200.0,200,0,0.0,200,0,0,20601,5.987016629660502e-05
109,21800,-200.0,200,0,0.0,200,0,0,20801,6.399254925781861e-05
110,22000,-200.0,200,0,0.0,200,0,0,21001,0.00018037811969406903
111,22200,-200.0,200,0,0.0,200,0,0,21201,2.964067789434921e-05
112,22400,-200.0,200,0,0.0,200,0,0,21401,7.907674444140866e-05
113,22600,-200.0,200,0,0.0,200,0,0,21601,1.7626251064939424e-05
114,22800,-200.0,200,0,0.0,200,0,0,21801,5.250429967418313e-05
115,23000,-200.0,200,0,0.0,200,0,0,22001,0.00026753032580018044
116,23200,-200.0,200,0,0.0,200,0,0,22201,8.2913669757545e-05
117,23400,-200.0,200,0,0.0,200,0,0,22401,0.0002269319084007293
118,23600,-200.0,200,0,0.0,200,0,0,22601,0.00013124036195222288
119,23800,-200.0,200,0,0.0,200,0,0,22801,9.678486821940169e-05
120,24000,-200.0,200,0,0.0,200,0,0,23001,9.172251156996936e-05
121,24200,-200.0,200,0,0.0,200,0,0,23201,9.351365588372573e-05
122,24400,-200.0,200,0,0.0,200,0,0,23401,3.585233207559213e-05
123,24600,-200.0,200,0,0.0,200,0,0,23601,8.297284512082115e-05
124,24800,-200.0,200,0,0.0,200,0,0,23801,0.00010982903040712699
125,25000,-200.0,200,0,0.0,200,0,0,24001,0.00017821394430939108
126,25200,-200.0,200,0,0.0,200,0,0,24201,6.111727998359129e-05
127,25400,-200.0,200,0,0.0,200,0,0,24401,0.00017207837663590908
128,25600,-200.0,200,0,0.0,200,0,0,24601,4.110337613383308e-05
129,25800,-200.0,200,0,0.0,200,0,0,24801,0.00023912228061817586
130,26000,-200.0,200,0,0.0,200,0,0,25001,0.00010079423373099416
131,26200,-200.0,200,0,0.0,200,0,0,25201,0.00017703312914818525
132,26400,-200.0,200,0,0.0,200,0,0,25401,9.86841696430929e-05
133,26600,-200.0,200,0,0.0,200,0,0,25601,6.4526975620538e-05
134,26800,-200.0,200,0,0.0,200,0,0,25801,6.579008913831785e-05
135,27000,-200.0,200,0,0.0,200,0,0,26001,6.137441960163414e-05
136,27200,-200.0,200,0,0.0,200,0,0,26201,0.00011183010064996779
137,27400,-200.0,200,0,0.0,200,0,0,26401,8.409858855884522e-05
138,27600,-200.0,200,0,0.0,200,0,0,26601,6.548343662871048e-05
139,27800,-200.0,200,0,0.0,200,0,0,26801,0.00011609542707446963
140,28000,-200.0,200,0,0.0,200,0,0,27001,6.290131568675861e-05
141,28200,-200.0,200,0,0.0,200,0,0,27201,0.0005239332094788551
142,28400,-200.0,200,0,0.0,200,0,0,27401,7.25830250303261e-05
143,28600,-200.0,200,0,0.0,200,0,0,27601,0.00011385818652343005
144,28800,-200.0,200,0,0.0,200,0,0,27801,0.00010610515892039984
145,29000,-200.0,200,0,0.0,200,0,0,28001,0.00019999899086542428
146,29200,-200.0,200,0,0.0,200,0,0,28201,0.0001083489041775465
147,29400,-200.0,200,0,0.0,200,0,0,28401,0.00011598457058425993
148,29600,-200.0,200,0,0.0,200,0,0,28601,8.76558042364195e-05
149,29800,-200.0,200,0,0.0,200,0,0,28801,0.00015190747217275202
150,30000,-200.0,200,0,0.0,200,0,0,29001,9.985898213926703e-05
151,30200,-200.0,200,0,0.0,200,0,0,29201,5.558026532526128e-05
152,30400,-200.0,200,0,0.0,200,0,0,29401,4.798472946276888e-05
153,30600,-200.0,200,0,0.0,200,0,0,29601,5.858618897036649e-05
154,30800,-200.0,200,0,0.0,200,0,0,29801,7.422661292366683e-05
155,31000,-200.0,200,0,0.0,200,0,0,30001,7.233821816043928e-05
156,31200,-200.0,200,0,0.0,200,0,0,30201,0.00013314011448528618
157,31400,-200.0,200,0,0.0,200,0,0,30401,9.37424847506918e-05
158,31600,-200.0,200,0,0.0,200,0,0,30601,0.000108926476968918
159,31800,-200.0,200,0,0.0,200,0,0,30801,7.891256973380223e-05
160,32000,-200.0,200,0,0.0,200,0,0,31001,0.0001328493672190234
161,32147,-147.0,147,1,0.0,147,0,0,31148,0.00012185846571810544
162,32347,-200.0,200,0,0.0,200,0,0,31348,7.75999651523307e-05
163,32547,-200.0,200,0,0.0,200,0,0,31548,4.791848550667055e-05
164,32747,-200.0,200,0,0.0,200,0,0,31748,0.0003843190206680447
165,32947,-200.0,200,0,0.0,200,0,0,31948,0.00012666908151004463
166,33147,-200.0,200,0,0.0,200,0,0,32148,0.00018156571604777128
167,33347,-200.0,200,0,0.0,200,0,0,32348,2.410450906609185e-05
168,33547,-200.0,200,0,0.0,200,0,0,32548,0.00012061402230756357
169,33747,-200.0,200,0,0.0,200,0,0,32748,3.02335356536787e-05
170,33947,-200.0,200,0,0.0,200,0,0,32948,5.529716145247221e-05
171,34147,-200.0,200,0,0.0,200,0,0,33148,3.53919604094699e-05
172,34347,-200.0,200,0,0.0,200,0,0,33348,2.2553438611794263e-05
173,34547,-200.0,200,0,0.0,200,0,0,33548,5.1664363127201796e-05
174,34747,-200.0,200,0,0.0,200,0,0,33748,9.561979823047295e-05
175,34947,-200.0,200,0,0.0,200,0,0,33948,0.00010434851719764993
176,35147,-200.0,200,0,0.0,200,0,0,34148,2.8577456760103814e-05
177,35235,-88.0,88,1,0.0,88,0,0,34236,7.145197741920128e-05
178,35435,-200.0,200,0,0.0,200,0,0,34436,4.5954802772030234e-05
179,35635,-200.0,200,0,0.0,200,0,0,34636,8.448462176602334e-05
180,35835,-200.0,200,0,0.0,200,0,0,34836,0.00010375957936048508
