evaluation_episode,evaluation_seed,return,length,success
1,10000,-140.0,140,1
2,10001,-96.0,96,1
3,10002,-109.0,109,1
4,10003,-98.0,98,1
5,10004,-88.0,88,1
6,10005,-140.0,140,1
7,10006,-143.0,143,1
8,10007,-88.0,88,1
9,10008,-143.0,143,1
10,10009,-142.0,142,1
11,10010,-143.0,143,1
12,10011,-140.0,140,1
13,10012,-144.0,144,1
14,10013,-139.0,139,1
15,10014,-143.0,143,1
16,10015,-139.0,139,1
17,10016,-144.0,144,1
18,10017,-146.0,146,1
19,10018,-139.0,139,1
20,10019,-100.0,100,1
21,10020,-144.0,144,1
22,10021,-143.0,143,1
23,10022,-96.0,96,1
24,10023,-102.0,102,1
25,10024,-143.0,143,1
26,10025,-150.0,150,1
27,10026,-85.0,85,1
28,10027,-140.0,140,1
29,10028,-140.0,140,1
30,10029,-143.0,143,1
31,10030,-140.0,140,1
32,10031,-143.0,143,1
33,10032,-83.0,83,1
34,10033,-144.0,144,1
35,10034,-143.0,143,1
36,10035,-143.0,143,1
37,10036,-144.0,144,1
38,10037,-140.0,140,1
39,10038,-86.0,86,1
40,10039,-143.0,143,1
41,10040,-139.0,139,1
42,10041,-145.0,145,1
43,10042,-101.0,101,1
44,10043,-91.0,91,1
45,10044,-147.0,147,1
46,10045,-100.0,100,1
47,10046,-140.0,140,1
48,10047,-146.0,146,1
49,10048,-143.0,143,1
50,10049,-142.0,142,1
51,10050,-139.0,139,1
52,10051,-141.0,141,1
53,10052,-142.0,142,1
54,10053,-139.0,139,1
55,10054,-100.0,100,1
56,10055,-140.0,140,1
57,10056,-139.0,139,1
58,10057,-139.0,139,1
59,10058,-140.0,140,1
60,10059,-140.0,140,1
61,10060,-139.0,139,1
62,10061,-143.0,143,1
63,10062,-87.0,87,1
64,10063,-140.0,140,1
65,10064,-83.0,83,1
66,10065,-143.0,143,1
67,10066,-140.0,140,1
68,10067,-150.0,150,1
69,10068,-88.0,88,1
70,10069,-84.0,84,1
71,10070,-143.0,143,1
72,10071,-139.0,139,1
73,10072,-140.0,140,1
74,10073,-86.0,86,1
75,10074,-91.0,91,1
76,10075,-139.0,139,1
77,10076,-102.0,102,1
78,10077,-139.0,139,1
79,10078,-146.0,146,1
80,10079,-140.0,140,1
81,10080,-140.0,140,1
82,10081,-87.0,87,1
83,10082,-143.0,143,1
84,10083,-139.0,139,1
85,10084,-143.0,143,1
86,10085,-139.0,139,1
87,10086,-142.0,142,1
88,10087,-140.0,140,1
89,10088,-150.0,150,1
90,10089,-99.0,99,1
91,10090,-140.0,140,1
92,10091,-139.0,139,1
93,10092,-143.0,143,1
94,10093,-87.0,87,1
95,10094,-143.0,143,1
96,10095,-101.0,101,1
97,10096,-139.0,139,1
98,10097,-142.0,142,1
99,10098,-142.0,142,1
100,10099,-111.0,111,1
