evaluation_episode,evaluation_seed,return,length,success
1,10000,-115.0,115,1
2,10001,-113.0,113,1
3,10002,-113.0,113,1
4,10003,-113.0,113,1
5,10004,-112.0,112,1
6,10005,-112.0,112,1
7,10006,-113.0,113,1
8,10007,-113.0,113,1
9,10008,-114.0,114,1
10,10009,-115.0,115,1
11,10010,-113.0,113,1
12,10011,-115.0,115,1
13,10012,-112.0,112,1
14,10013,-115.0,115,1
15,10014,-113.0,113,1
16,10015,-115.0,115,1
17,10016,-112.0,112,1
18,10017,-114.0,114,1
19,10018,-115.0,115,1
20,10019,-113.0,113,1
21,10020,-112.0,112,1
22,10021,-112.0,112,1
23,10022,-113.0,113,1
24,10023,-113.0,113,1
25,10024,-110.0,110,1
26,10025,-114.0,114,1
27,10026,-86.0,86,1
28,10027,-112.0,112,1
29,10028,-112.0,112,1
30,10029,-111.0,111,1
31,10030,-112.0,112,1
32,10031,-112.0,112,1
33,10032,-85.0,85,1
34,10033,-112.0,112,1
35,10034,-114.0,114,1
36,10035,-110.0,110,1
37,10036,-112.0,112,1
38,10037,-115.0,115,1
39,10038,-112.0,112,1
40,10039,-110.0,110,1
41,10040,-114.0,114,1
42,10041,-114.0,114,1
43,10042,-113.0,113,1
44,10043,-113.0,113,1
45,10044,-114.0,114,1
46,10045,-113.0,113,1
47,10046,-115.0,115,1
48,10047,-114.0,114,1
49,10048,-114.0,114,1
50,10049,-114.0,114,1
51,10050,-113.0,113,1
52,10051,-112.0,112,1
53,10052,-115.0,115,1
54,10053,-115.0,115,1
55,10054,-113.0,113,1
56,10055,-113.0,113,1
57,10056,-114.0,114,1
58,10057,-113.0,113,1
59,10058,-113.0,113,1
60,10059,-112.0,112,1
61,10060,-115.0,115,1
62,10061,-114.0,114,1
63,10062,-112.0,112,1
64,10063,-113.0,113,1
65,10064,-85.0,85,1
66,10065,-112.0,112,1
67,10066,-112.0,112,1
68,10067,-114.0,114,1
69,10068,-112.0,112,1
70,10069,-85.0,85,1
71,10070,-113.0,113,1
72,10071,-115.0,115,1
73,10072,-113.0,113,1
74,10073,-111.0,111,1
75,10074,-113.0,113,1
76,10075,-113.0,113,1
77,10076,-113.0,113,1
78,10077,-115.0,115,1
79,10078,-114.0,114,1
80,10079,-112.0,112,1
81,10080,-113.0,113,1
82,10081,-112.0,112,1
83,10082,-114.0,114,1
84,10083,-115.0,115,1
85,10084,-110.0,110,1
86,10085,-115.0,115,1
87,10086,-115.0,115,1
88,10087,-112.0,112,1
89,10088,-114.0,114,1
90,10089,-113.0,113,1
91,10090,-112.0,112,1
92,10091,-113.0,113,1
93,10092,-110.0,110,1
94,10093,-112.0,112,1
95,10094,-113.0,113,1
96,10095,-113.0,113,1
97,10096,-115.0,115,1
98,10097,-115.0,115,1
99,10098,-115.0,115,1
100,10099,-114.0,114,1
