episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.0,0,
2,400,-200.0,200,0,0.0,0,
3,600,-200.0,200,0,0.0,0,
4,800,-200.0,200,0,0.0,0,
5,1000,-200.0,200,0,0.0,1,0.5013094544410706
6,1200,-200.0,200,0,0.0,201,0.000297306920401752
7,1400,-200.0,200,0,0.0,401,0.0003201562794856727
8,1600,-200.0,200,0,0.0,601,0.00034997626789845526
9,1800,-200.0,200,0,0.0,801,0.0002681438927538693
10,2000,-200.0,200,0,0.0,1001,0.00013159796071704477
11,2200,-200.0,200,0,0.0,1201,0.00011573306255741045
12,2400,-200.0,200,0,0.0,1401,4.600794272846542e-05
13,2600,-200.0,200,0,0.0,1601,5.245834108791314e-05
14,2800,-200.0,200,0,0.0,1801,8.985168096842244e-05
15,3000,-200.0,200,0,0.0,2001,6.459202995756641e-05
16,3200,-200.0,200,0,0.0,2201,9.03821928659454e-05
17,3400,-200.0,200,0,0.0,2401,4.308519419282675e-05
18,3600,-200.0,200,0,0.0,2601,4.589110176311806e-05
19,3800,-200.0,200,0,0.0,2801,4.5244389184517786e-05
20,4000,-200.0,200,0,0.0,3001,5.034901187173091e-05
21,4200,-200.0,200,0,0.0,3201,0.00015635773888789117
22,4400,-200.0,200,0,0.0,3401,4.560868183034472e-05
23,4600,-200.0,200,0,0.0,3601,0.00010539781942497939
24,4800,-200.0,200,0,0.0,3801,6.0761176428059116e-05
25,5000,-200.0,200,0,0.0,4001,8.239582530222833e-05
26,5200,-200.0,200,0,0.0,4201,7.262489816639572e-05
27,5400,-200.0,200,0,0.0,4401,0.0005116013344377279
28,5600,-200.0,200,0,0.0,4601,7.437134627252817e-05
29,5800,-200.0,200,0,0.0,4801,8.794378663878888e-05
30,6000,-200.0,200,0,0.0,5001,8.750591950956732e-05
31,6200,-200.0,200,0,0.0,5201,8.006427378859371e-05
32,6400,-200.0,200,0,0.0,5401,3.646029654191807e-05
33,6600,-200.0,200,0,0.0,5601,6.023877358529717e-05
34,6800,-200.0,200,0,0.0,5801,8.555706881452352e-05
35,7000,-200.0,200,0,0.0,6001,0.00011985902528977022
36,7200,-200.0,200,0,0.0,6201,8.286476804642007e-05
37,7400,-200.0,200,0,0.0,6401,6.763928104192019e-05
38,7600,-200.0,200,0,0.0,6601,0.0002916389494203031
39,7800,-200.0,200,0,0.0,6801,6.512962136184797e-05
40,8000,-200.0,200,0,0.0,7001,5.369909558794461e-05
