episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.9960399,1,199,0,0,
2,400,0.0,200,0,0.9920599,0,200,0,0,
3,600,0.0,200,0,0.9880799,1,199,0,0,
4,800,0.0,200,0,0.9840999,4,196,0,0,
5,1000,0.0,200,0,0.9801199,5,195,0,1,0.0020298489835113287
6,1200,0.0,200,0,0.9761399,4,196,2,201,6.206606144587568e-07
7,1400,0.0,200,0,0.9721599,3,197,3,401,1.726220091313735e-07
8,1600,0.0,200,0,0.9681799,5,195,3,601,9.805967238207813e-08
9,1800,0.0,200,0,0.9641999,10,190,6,801,1.432626106634416e-07
10,2000,0.0,200,0,0.9602199,10,190,2,1001,4.427683109042846e-08
11,2200,0.0,200,0,0.9562399,12,188,6,1201,2.8370381599529537e-08
12,2400,0.0,200,0,0.9522599,13,187,4,1401,4.412539666986959e-08
13,2600,0.0,200,0,0.9482799,17,183,5,1601,6.086274595418217e-08
14,2800,0.0,200,0,0.9442999,11,189,0,1801,1.7972888954886912e-08
15,3000,0.0,200,0,0.9403199,5,195,0,2001,3.63385836976704e-08
16,3200,0.0,200,0,0.9363399,21,179,3,2201,6.249484840736841e-08
17,3400,0.0,200,0,0.9323599,11,189,1,2401,6.423461940130437e-08
18,3600,0.0,200,0,0.9283799,18,182,0,2601,8.059033973495389e-08
19,3800,0.0,200,0,0.9243999,19,181,4,2801,3.272979256507824e-07
20,4000,0.0,200,0,0.9204199,10,190,1,3001,8.950468100010767e-08
21,4200,0.0,200,0,0.9164399,17,183,0,3201,4.225550398473388e-08
22,4400,0.0,200,0,0.9124599,19,181,0,3401,5.215648712919574e-08
23,4600,0.0,200,0,0.9084799,14,186,0,3601,6.283934226303245e-07
24,4800,0.0,200,0,0.9044999,19,181,3,3801,7.231654564066048e-08
25,5000,0.0,200,0,0.9005199,21,179,2,4001,2.911323235821328e-07
26,5200,0.0,200,0,0.8965399000000001,23,177,1,4201,6.308097511009692e-08
27,5400,0.0,200,0,0.8925599,23,177,4,4401,3.164174700032163e-08
28,5600,0.0,200,0,0.8885799,18,182,4,4601,1.4086595001572277e-07
29,5800,0.0,200,0,0.8845999,33,167,7,4801,1.3499095530278282e-07
30,6000,0.0,200,0,0.8806199,21,179,0,5001,7.393326484361751e-08
31,6200,0.0,200,0,0.8766399,28,172,0,5201,2.053443104443886e-08
32,6400,0.0,200,0,0.8726598999999999,24,176,10,5401,3.274698912036911e-08
33,6600,0.0,200,0,0.8686799000000001,28,172,12,5601,1.6968643379300374e-08
34,6800,0.0,200,0,0.8646999,28,172,9,5801,6.464799184868752e-08
35,7000,0.0,200,0,0.8607199,28,172,9,6001,5.543306613731147e-08
36,7200,0.0,200,0,0.8567399,25,175,14,6201,4.565182010196622e-08
37,7400,0.0,200,0,0.8527599,28,172,10,6401,3.361245717314887e-07
38,7600,0.0,200,0,0.8487799,30,170,9,6601,2.9696842318571726e-08
39,7800,0.0,200,0,0.8447998999999999,23,177,10,6801,1.210839002396824e-07
40,8000,0.0,200,0,0.8408199,39,161,10,7001,4.6826238531139097e-07
41,8200,0.0,200,0,0.8368399,35,165,7,7201,4.2687197776558605e-08
42,8400,0.0,200,0,0.8328599,29,171,4,7401,2.7662480306389625e-07
43,8600,0.0,200,0,0.8288799,37,163,7,7601,1.710359498474645e-07
44,8800,0.0,200,0,0.8248999,35,165,14,7801,5.208616471463756e-08
45,9000,0.0,200,0,0.8209199,34,166,13,8001,1.535957352416517e-07
46,9200,0.0,200,0,0.8169398999999999,33,167,8,8201,1.5412254583679896e-07
47,9400,0.0,200,0,0.8129599,35,165,2,8401,1.2170931995569845e-07
48,9600,0.0,200,0,0.8089799,35,165,10,8601,2.9102436016614774e-08
49,9800,0.0,200,0,0.8049999,37,163,9,8801,5.926204380557465e-07
50,10000,0.0,200,0,0.8010199,38,162,14,9001,1.5000217956639972e-08
51,10200,0.0,200,0,0.7970399,41,159,17,9201,7.1009765179042e-08
52,10400,0.0,200,0,0.7930599,31,169,11,9401,1.459676468584803e-08
53,10600,0.0,200,0,0.7890799,45,155,22,9601,1.0275916118018813e-08
54,10800,0.0,200,0,0.7850999,40,160,17,9801,1.5590760682471227e-08
55,11000,0.0,200,0,0.7811199,44,156,22,10001,3.9755128966589837e-08
56,11200,0.0,200,0,0.7771399,44,156,22,10201,2.201010396163383e-08
57,11400,0.0,200,0,0.7731599,52,148,5,10401,3.272015192123945e-07
58,11600,0.0,200,0,0.7691799,52,148,9,10601,1.946984724554568e-07
59,11800,0.0,200,0,0.7651999,45,155,2,10801,2.1229222824104e-08
60,12000,0.0,200,0,0.7612199,41,159,1,11001,2.5741023534919805e-08
61,12200,0.0,200,0,0.7572399,54,146,4,11201,1.77580723459414e-08
62,12400,0.0,200,0,0.7532599,63,137,13,11401,3.795097924808033e-08
63,12600,0.0,200,0,0.7492799,52,148,14,11601,2.5522258084720306e-08
64,12800,0.0,200,0,0.7452999,44,156,3,11801,1.671912883693949e-07
65,13000,0.0,200,0,0.7413199,41,159,3,12001,9.928529109970441e-09
66,13200,0.0,200,0,0.7373399,62,138,5,12201,7.097569199032705e-09
67,13400,0.0,200,0,0.7333599,47,153,4,12401,5.6485866650746175e-08
68,13600,0.0,200,0,0.7293799000000001,63,137,3,12601,1.6375651057387586e-08
69,13800,0.0,200,0,0.7253999,58,142,23,12801,1.1337399463684505e-08
70,14000,0.0,200,0,0.7214199,59,141,14,13001,2.188856171869702e-07
71,14200,0.0,200,0,0.7174399,58,142,23,13201,1.484831191334024e-08
72,14400,0.0,200,0,0.7134598999999999,58,142,10,13401,2.5078575660586466e-08
73,14600,0.0,200,0,0.7094799,56,144,6,13601,4.277532283936125e-08
74,14800,0.0,200,0,0.7054999,58,142,21,13801,7.091457376873223e-08
75,15000,0.0,200,0,0.7015199,64,136,28,14001,1.0498855118612482e-08
76,15200,0.0,200,0,0.6975399,69,131,31,14201,6.336367164294643e-08
77,15400,0.0,200,0,0.6935599,57,143,27,14401,1.0433853780966729e-08
78,15600,0.0,200,0,0.6895799,69,131,17,14601,6.3229124158681316e-09
79,15800,0.0,200,0,0.6855999,65,135,7,14801,1.7293011467245378e-08
80,16000,0.0,200,0,0.6816199000000001,63,137,30,15001,4.6618673366083385e-09
81,16200,0.0,200,0,0.6776399,66,134,25,15201,1.1505807862022266e-08
82,16400,0.0,200,0,0.6736599000000001,59,141,31,15401,8.440766308126513e-09
83,16600,0.0,200,0,0.6696799,53,147,0,15601,4.4187871139911294e-08
84,16800,0.0,200,0,0.6656999,66,134,16,15801,1.9168485465570484e-08
85,17000,0.0,200,0,0.6617199,68,132,10,16001,1.091011014864307e-08
86,17200,0.0,200,0,0.6577398999999999,67,133,20,16201,1.2665463344774253e-08
87,17400,0.0,200,0,0.6537599000000001,62,138,4,16401,1.6177365225189533e-08
88,17600,0.0,200,0,0.6497799,65,135,4,16601,8.133549833644338e-09
89,17800,0.0,200,0,0.6457999,76,124,39,16801,1.3492199357756363e-08
90,18000,0.0,200,0,0.6418199,66,134,9,17001,1.6594617235909936e-08
91,18200,0.0,200,0,0.6378398999999999,78,122,18,17201,2.7954885695180565e-07
92,18400,0.0,200,0,0.6338599,82,118,32,17401,1.6566415794727618e-08
93,18600,0.0,200,0,0.6298799,86,114,31,17601,4.145269016930797e-09
94,18800,0.0,200,0,0.6258999000000001,73,127,28,17801,4.073505088797447e-09
95,19000,0.0,200,0,0.6219199,66,134,32,18001,1.6124406254647283e-09
96,19200,0.0,200,0,0.6179399,78,122,46,18201,4.877831027982893e-09
97,19400,0.0,200,0,0.6139599,79,121,32,18401,2.1740424571703443e-08
98,19600,0.0,200,0,0.6099799,70,130,20,18601,2.7866406959731194e-09
99,19800,0.0,200,0,0.6059999,81,119,26,18801,2.9697858394683863e-08
100,20000,0.0,200,0,0.6020198999999999,75,125,33,19001,6.2728280347812415e-09
101,20200,0.0,200,0,0.5980399000000001,78,122,30,19201,3.18513815322774e-09
102,20400,0.0,200,0,0.5940599,94,106,33,19401,8.384361649405037e-09
103,20600,0.0,200,0,0.5900799,93,107,24,19601,2.6549745513193557e-08
104,20800,0.0,200,0,0.5860999,83,117,28,19801,2.1112828818559137e-08
105,21000,0.0,200,0,0.5821198999999999,79,121,21,20001,8.04116506714081e-09
106,21200,0.0,200,0,0.5781399,78,122,14,20201,1.0431456587411958e-08
107,21400,0.0,200,0,0.5741599,84,116,20,20401,2.7408468383782747e-08
