episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.9960399,0,
2,400,0.0,200,0,0.9920599,0,
3,600,0.0,200,0,0.9880799,0,
4,800,0.0,200,0,0.9840999,0,
5,1000,0.0,200,0,0.9801199,1,0.007843904197216034
6,1200,0.0,200,0,0.9761399,201,6.540662411680387e-07
7,1400,0.0,200,0,0.9721599,401,3.070851448683243e-07
8,1600,0.0,200,0,0.9681799,601,1.635752084894193e-07
9,1800,0.0,200,0,0.9641999,801,1.946110614881036e-07
10,2000,0.0,200,0,0.9602199,1001,1.1615686901222944e-07
11,2200,0.0,200,0,0.9562399,1201,5.115727219617838e-08
12,2400,0.0,200,0,0.9522599,1401,7.88045539934501e-09
13,2600,0.0,200,0,0.9482799,1601,4.632970629359079e-08
14,2800,0.0,200,0,0.9442999,1801,2.3641021584808186e-08
15,3000,0.0,200,0,0.9403199,2001,9.52181533619978e-09
16,3200,0.0,200,0,0.9363399,2201,2.8636543802917913e-08
17,3400,0.0,200,0,0.9323599,2401,9.098643616312074e-09
18,3600,0.0,200,0,0.9283799,2601,4.230252770298648e-08
19,3800,0.0,200,0,0.9243999,2801,5.7034313272197323e-08
20,4000,0.0,200,0,0.9204199,3001,9.178965143519235e-09
21,4200,0.0,200,0,0.9164399,3201,1.3825765421415781e-08
22,4400,0.0,200,0,0.9124599,3401,1.3182410718570736e-08
23,4600,0.0,200,0,0.9084799,3601,1.491498125005819e-07
24,4800,0.0,200,0,0.9044999,3801,4.47487593646656e-08
25,5000,0.0,200,0,0.9005199,4001,1.0235501335387198e-08
26,5200,0.0,200,0,0.8965399000000001,4201,5.8005347192136014e-09
27,5400,0.0,200,0,0.8925599,4401,1.0725179322434997e-07
28,5600,0.0,200,0,0.8885799,4601,2.0155106028596492e-08
29,5800,0.0,200,0,0.8845999,4801,8.067432943903441e-09
30,6000,0.0,200,0,0.8806199,5001,1.4076036336518882e-08
31,6200,0.0,200,0,0.8766399,5201,8.293330466813131e-08
32,6400,0.0,200,0,0.8726598999999999,5401,6.298852781583264e-07
33,6600,0.0,200,0,0.8686799000000001,5601,3.780127766361829e-09
34,6800,0.0,200,0,0.8646999,5801,8.99608831872456e-09
35,7000,0.0,200,0,0.8607199,6001,6.764584270513296e-08
36,7200,0.0,200,0,0.8567399,6201,2.0361239805311016e-08
37,7400,0.0,200,0,0.8527599,6401,4.455286628513022e-08
38,7600,0.0,200,0,0.8487799,6601,3.2489378298805605e-08
39,7800,0.0,200,0,0.8447998999999999,6801,6.440768629545346e-08
40,8000,0.0,200,0,0.8408199,7001,2.062310677786172e-08
41,8200,0.0,200,0,0.8368399,7201,7.490696063428004e-09
42,8400,0.0,200,0,0.8328599,7401,3.808959903039977e-08
43,8600,0.0,200,0,0.8288799,7601,4.125084615225205e-06
44,8800,0.0,200,0,0.8248999,7801,1.2935528204138791e-08
45,9000,0.0,200,0,0.8209199,8001,1.2163952511912157e-08
