episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,200,0,0,
2,400,-200.0,200,0,0.9920599,0,200,0,0,
3,600,-200.0,200,0,0.9880799,2,198,0,0,
4,800,-200.0,200,0,0.9840999,2,198,0,0,
5,1000,-200.0,200,0,0.9801199,2,198,0,1,0.41255244612693787
6,1200,-200.0,200,0,0.9761399,7,193,1,201,0.000172904969076626
7,1400,-200.0,200,0,0.9721599,4,196,0,401,0.00014510707114823163
8,1600,-200.0,200,0,0.9681799,7,193,0,601,0.00013136639609001577
9,1800,-200.0,200,0,0.9641999,4,196,0,801,9.382788266520947e-05
10,2000,-200.0,200,0,0.9602199,3,197,0,1001,7.204040593933314e-05
11,2200,-200.0,200,0,0.9562399,7,193,0,1201,4.942861050949432e-05
12,2400,-200.0,200,0,0.9522599,7,193,0,1401,5.0160066166426986e-05
13,2600,-200.0,200,0,0.9482799,15,185,0,1601,7.248503243317828e-05
14,2800,-200.0,200,0,0.9442999,10,190,0,1801,4.718608397524804e-05
15,3000,-200.0,200,0,0.9403199,10,190,0,2001,4.28069761255756e-05
16,3200,-200.0,200,0,0.9363399,9,191,0,2201,6.064906847313978e-05
17,3400,-200.0,200,0,0.9323599,14,186,0,2401,4.696812538895756e-05
18,3600,-200.0,200,0,0.9283799,14,186,0,2601,3.7677004002034664e-05
19,3800,-200.0,200,0,0.9243999,13,187,0,2801,5.291056368150748e-05
20,4000,-200.0,200,0,0.9204199,23,177,0,3001,4.808561425306834e-05
21,4200,-200.0,200,0,0.9164399,12,188,0,3201,3.622507938416675e-05
22,4400,-200.0,200,0,0.9124599,11,189,0,3401,6.17102487012744e-05
23,4600,-200.0,200,0,0.9084799,12,188,0,3601,3.233018287573941e-05
24,4800,-200.0,200,0,0.9044999,15,185,0,3801,5.3075531468493864e-05
25,5000,-200.0,200,0,0.9005199,19,181,0,4001,3.704859045683406e-05
26,5200,-200.0,200,0,0.8965399000000001,22,178,0,4201,3.2046758860815316e-05
27,5400,-200.0,200,0,0.8925599,21,179,0,4401,2.1025380192440934e-05
28,5600,-200.0,200,0,0.8885799,27,173,0,4601,3.071481842198409e-05
