evaluation_episode,evaluation_seed,return,length,success
1,10000,-107.0,107,1
2,10001,-107.0,107,1
3,10002,-107.0,107,1
4,10003,-107.0,107,1
5,10004,-90.0,90,1
6,10005,-106.0,106,1
7,10006,-106.0,106,1
8,10007,-91.0,91,1
9,10008,-107.0,107,1
10,10009,-107.0,107,1
11,10010,-106.0,106,1
12,10011,-107.0,107,1
13,10012,-106.0,106,1
14,10013,-107.0,107,1
15,10014,-106.0,106,1
16,10015,-107.0,107,1
17,10016,-107.0,107,1
18,10017,-107.0,107,1
19,10018,-107.0,107,1
20,10019,-107.0,107,1
21,10020,-106.0,106,1
22,10021,-106.0,106,1
23,10022,-107.0,107,1
24,10023,-107.0,107,1
25,10024,-106.0,106,1
26,10025,-107.0,107,1
27,10026,-86.0,86,1
28,10027,-107.0,107,1
29,10028,-106.0,106,1
30,10029,-106.0,106,1
31,10030,-107.0,107,1
32,10031,-106.0,106,1
33,10032,-84.0,84,1
34,10033,-107.0,107,1
35,10034,-107.0,107,1
36,10035,-107.0,107,1
37,10036,-106.0,106,1
38,10037,-107.0,107,1
39,10038,-88.0,88,1
40,10039,-107.0,107,1
41,10040,-107.0,107,1
42,10041,-107.0,107,1
43,10042,-107.0,107,1
44,10043,-95.0,95,1
45,10044,-107.0,107,1
46,10045,-107.0,107,1
47,10046,-107.0,107,1
48,10047,-107.0,107,1
49,10048,-107.0,107,1
50,10049,-107.0,107,1
51,10050,-107.0,107,1
52,10051,-107.0,107,1
53,10052,-107.0,107,1
54,10053,-107.0,107,1
55,10054,-107.0,107,1
56,10055,-106.0,106,1
57,10056,-107.0,107,1
58,10057,-107.0,107,1
59,10058,-106.0,106,1
60,10059,-107.0,107,1
61,10060,-107.0,107,1
62,10061,-107.0,107,1
63,10062,-89.0,89,1
64,10063,-106.0,106,1
65,10064,-84.0,84,1
66,10065,-107.0,107,1
67,10066,-107.0,107,1
68,10067,-107.0,107,1
69,10068,-90.0,90,1
70,10069,-84.0,84,1
71,10070,-107.0,107,1
72,10071,-107.0,107,1
73,10072,-107.0,107,1
74,10073,-88.0,88,1
75,10074,-94.0,94,1
76,10075,-107.0,107,1
77,10076,-107.0,107,1
78,10077,-107.0,107,1
79,10078,-107.0,107,1
80,10079,-107.0,107,1
81,10080,-106.0,106,1
82,10081,-89.0,89,1
83,10082,-107.0,107,1
84,10083,-107.0,107,1
85,10084,-107.0,107,1
86,10085,-107.0,107,1
87,10086,-107.0,107,1
88,10087,-107.0,107,1
89,10088,-107.0,107,1
90,10089,-107.0,107,1
91,10090,-107.0,107,1
92,10091,-107.0,107,1
93,10092,-107.0,107,1
94,10093,-88.0,88,1
95,10094,-106.0,106,1
96,10095,-107.0,107,1
97,10096,-107.0,107,1
98,10097,-107.0,107,1
99,10098,-107.0,107,1
100,10099,-107.0,107,1
