episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.41255244612693787
6,1200,-200.0,200,0,0.9761399,201,0.00025395231205038726
7,1400,-200.0,200,0,0.9721599,401,0.000350459071341902
8,1600,-200.0,200,0,0.9681799,601,0.0002491714549250901
9,1800,-200.0,200,0,0.9641999,801,0.00019256579980719835
10,2000,-200.0,200,0,0.9602199,1001,0.00034826749470084906
11,2200,-200.0,200,0,0.9562399,1201,0.00029754830757156014
12,2400,-200.0,200,0,0.9522599,1401,0.0003815656527876854
13,2600,-200.0,200,0,0.9482799,1601,0.00028071037377230823
14,2800,-200.0,200,0,0.9442999,1801,0.00041409526602365077
15,3000,-200.0,200,0,0.9403199,2001,0.0002919254475273192
16,3200,-200.0,200,0,0.9363399,2201,0.00046432879753410816
17,3400,-200.0,200,0,0.9323599,2401,0.00028586797998286784
18,3600,-200.0,200,0,0.9283799,2601,0.0003941854811273515
19,3800,-200.0,200,0,0.9243999,2801,0.0004680379352066666
20,4000,-200.0,200,0,0.9204199,3001,0.00034707182203419507
21,4200,-200.0,200,0,0.9164399,3201,0.0003711514000315219
22,4400,-200.0,200,0,0.9124599,3401,0.0004187196318525821
23,4600,-200.0,200,0,0.9084799,3601,0.0004668864712584764
24,4800,-200.0,200,0,0.9044999,3801,0.00033913584775291383
25,5000,-200.0,200,0,0.9005199,4001,0.0003952374099753797
26,5200,-200.0,200,0,0.8965399000000001,4201,0.0003750081523321569
27,5400,-200.0,200,0,0.8925599,4401,0.0002695525181479752
28,5600,-200.0,200,0,0.8885799,4601,0.000353314564563334
29,5800,-200.0,200,0,0.8845999,4801,0.00029276430723257363
30,6000,-200.0,200,0,0.8806199,5001,0.00019552852609194815
31,6200,-200.0,200,0,0.8766399,5201,0.00018914169049821794
32,6400,-200.0,200,0,0.8726598999999999,5401,0.00017360254423692822
33,6600,-200.0,200,0,0.8686799000000001,5601,0.00016753474483266473
34,6800,-200.0,200,0,0.8646999,5801,0.00010839247261174023
35,7000,-200.0,200,0,0.8607199,6001,8.124206215143204e-05
36,7200,-200.0,200,0,0.8567399,6201,4.45215409854427e-05
37,7400,-200.0,200,0,0.8527599,6401,3.865503458655439e-05
38,7600,-200.0,200,0,0.8487799,6601,2.9220696887932718e-05
39,7800,-200.0,200,0,0.8447998999999999,6801,1.4459751582762692e-05
40,8000,-200.0,200,0,0.8408199,7001,1.1286191693216097e-05
41,8200,-200.0,200,0,0.8368399,7201,8.014628292585257e-06
42,8400,-200.0,200,0,0.8328599,7401,1.1411330888222437e-05
43,8600,-200.0,200,0,0.8288799,7601,4.839730081585003e-06
44,8800,-200.0,200,0,0.8248999,7801,4.170202828390757e-06
45,9000,-200.0,200,0,0.8209199,8001,1.0143351573788095e-05
46,9200,-200.0,200,0,0.8169398999999999,8201,7.926418220449705e-06
47,9400,-200.0,200,0,0.8129599,8401,5.984499694022816e-06
48,9600,-200.0,200,0,0.8089799,8601,8.887653166311793e-06
49,9800,-200.0,200,0,0.8049999,8801,8.018986591196153e-06
50,10000,-200.0,200,0,0.8010199,9001,5.608562787529081e-06
51,10200,-200.0,200,0,0.7970399,9201,8.114164302241988e-06
52,10400,-200.0,200,0,0.7930599,9401,6.281460173340747e-06
53,10600,-200.0,200,0,0.7890799,9601,6.482216122094542e-06
54,10800,-200.0,200,0,0.7850999,9801,6.280046818574192e-06
55,11000,-200.0,200,0,0.7811199,10001,7.757076673442498e-06
56,11200,-200.0,200,0,0.7771399,10201,5.851476089446805e-06
57,11400,-200.0,200,0,0.7731599,10401,1.4818657518844702e-06
58,11600,-200.0,200,0,0.7691799,10601,5.3405610742629506e-06
59,11800,-200.0,200,0,0.7651999,10801,1.914198037411552e-06
60,12000,-200.0,200,0,0.7612199,11001,1.892254886115552e-06
61,12200,-200.0,200,0,0.7572399,11201,8.923584573494736e-07
62,12400,-200.0,200,0,0.7532599,11401,3.6635301512433216e-06
63,12600,-200.0,200,0,0.7492799,11601,5.494157903740415e-06
64,12800,-200.0,200,0,0.7452999,11801,4.2392148316139355e-06
65,13000,-200.0,200,0,0.7413199,12001,2.9055831873847637e-06
66,13200,-200.0,200,0,0.7373399,12201,2.5908911993610673e-06
67,13400,-200.0,200,0,0.7333599,12401,2.5481926968495827e-06
68,13600,-200.0,200,0,0.7293799000000001,12601,2.1050300347269513e-06
69,13800,-200.0,200,0,0.7253999,12801,1.3016653610975482e-05
70,14000,-200.0,200,0,0.7214199,13001,1.4578058653569315e-06
71,14200,-200.0,200,0,0.7174399,13201,1.2739606063405517e-06
72,14400,-200.0,200,0,0.7134598999999999,13401,3.996919531346066e-06
73,14600,-200.0,200,0,0.7094799,13601,9.416107786819339e-07
74,14800,-200.0,200,0,0.7054999,13801,9.57651536737103e-07
75,15000,-200.0,200,0,0.7015199,14001,1.1327742868161295e-06
76,15200,-200.0,200,0,0.6975399,14201,2.387269432801986e-06
77,15400,-200.0,200,0,0.6935599,14401,3.654837655631127e-06
78,15600,-200.0,200,0,0.6895799,14601,1.3356379895412829e-06
79,15800,-200.0,200,0,0.6855999,14801,6.545928954437841e-07
80,16000,-200.0,200,0,0.6816199000000001,15001,8.163465281540994e-07
81,16200,-200.0,200,0,0.6776399,15201,2.1362911866162904e-06
82,16400,-200.0,200,0,0.6736599000000001,15401,8.419692676397972e-07
83,16600,-200.0,200,0,0.6696799,15601,2.5494628062006086e-06
84,16800,-200.0,200,0,0.6656999,15801,1.4031684258952737e-06
85,17000,-200.0,200,0,0.6617199,16001,7.173030098783784e-07
86,17200,-200.0,200,0,0.6577398999999999,16201,6.703699000354391e-07
87,17400,-200.0,200,0,0.6537599000000001,16401,5.010242603020743e-07
88,17600,-200.0,200,0,0.6497799,16601,7.338512659771368e-07
89,17800,-200.0,200,0,0.6457999,16801,1.2620889719983097e-06
90,18000,-200.0,200,0,0.6418199,17001,3.628229023888707e-07
91,18200,-200.0,200,0,0.6378398999999999,17201,1.8931200429506134e-06
92,18400,-200.0,200,0,0.6338599,17401,2.333053998881951e-06
93,18600,-200.0,200,0,0.6298799,17601,5.531242095457856e-07
94,18800,-200.0,200,0,0.6258999000000001,17801,1.0862468116101809e-06
95,19000,-200.0,200,0,0.6219199,18001,4.217140485707205e-07
96,19200,-200.0,200,0,0.6179399,18201,4.3538511818042025e-07
97,19400,-200.0,200,0,0.6139599,18401,1.778457317413995e-06
98,19600,-200.0,200,0,0.6099799,18601,1.003236320684664e-07
99,19800,-200.0,200,0,0.6059999,18801,1.2370060176181141e-06
100,20000,-200.0,200,0,0.6020198999999999,19001,8.585566320107318e-07
101,20200,-200.0,200,0,0.5980399000000001,19201,2.0807647160836495e-07
102,20400,-200.0,200,0,0.5940599,19401,6.086547728045844e-07
103,20600,-200.0,200,0,0.5900799,19601,3.3369769880664535e-07
104,20800,-200.0,200,0,0.5860999,19801,6.847203621873632e-07
105,21000,-200.0,200,0,0.5821198999999999,20001,5.921506271988619e-07
106,21200,-200.0,200,0,0.5781399,20201,7.844710125937127e-07
107,21400,-200.0,200,0,0.5741599,20401,1.252074071089737e-07
108,21600,-200.0,200,0,0.5701799000000001,20601,1.7757838577381335e-07
109,21800,-200.0,200,0,0.5661999,20801,2.3866186893428676e-07
110,22000,-200.0,200,0,0.5622199,21001,1.400351266056532e-06
111,22200,-200.0,200,0,0.5582399,21201,3.034497240150813e-07
112,22400,-200.0,200,0,0.5542599,21401,6.960685823287349e-07
113,22600,-200.0,200,0,0.5502799,21601,6.914192454132717e-07
114,22800,-200.0,200,0,0.5462999,21801,2.0342640709714033e-06
115,23000,-200.0,200,0,0.5423199000000001,22001,7.009320142969955e-06
116,23200,-200.0,200,0,0.5383399,22201,1.5969985724950675e-06
117,23400,-200.0,200,0,0.5343599,22401,1.8337291294301394e-06
118,23600,-200.0,200,0,0.5303799,22601,2.955375748570077e-07
119,23800,-200.0,200,0,0.5263998999999999,22801,1.1782549336203374e-07
120,24000,-200.0,200,0,0.5224199,23001,2.3476268324884586e-06
121,24200,-200.0,200,0,0.5184399,23201,1.3214521459303796e-06
122,24400,-200.0,200,0,0.5144599,23401,5.606207196251489e-07
123,24600,-200.0,200,0,0.5104799,23601,1.312851054535713e-07
124,24800,-200.0,200,0,0.5064999,23801,4.16280727222329e-07
125,25000,-200.0,200,0,0.5025199,24001,2.1905511857767124e-06
126,25200,-200.0,200,0,0.49853990000000004,24201,5.9037010942120105e-06
127,25400,-200.0,200,0,0.49455990000000005,24401,1.3764019968220964e-07
128,25600,-200.0,200,0,0.49057989999999996,24601,9.419891284778714e-06
129,25800,-200.0,200,0,0.4865999,24801,1.762327883625403e-07
130,26000,-200.0,200,0,0.4826199,25001,1.1285283108009025e-07
131,26200,-200.0,200,0,0.4786399,25201,1.2191690075269435e-06
132,26400,-200.0,200,0,0.4746599,25401,1.4479560377367307e-06
133,26600,-200.0,200,0,0.47067990000000004,25601,3.04588411381701e-07
134,26800,-200.0,200,0,0.46669989999999995,25801,3.1812255656404886e-06
135,27000,-200.0,200,0,0.46271989999999996,26001,1.5749583326396532e-07
136,27200,-200.0,200,0,0.4587399,26201,2.3086022338247858e-07
137,27400,-200.0,200,0,0.4547599,26401,1.1640008779068012e-06
138,27600,-200.0,200,0,0.4507799,26601,8.267060366051737e-06
139,27800,-200.0,200,0,0.4467999,26801,7.562142855022103e-06
140,28000,-200.0,200,0,0.44281989999999993,27001,1.4079846550885122e-06
141,28200,-200.0,200,0,0.43883989999999995,27201,2.302886059624143e-07
142,28400,-200.0,200,0,0.43485989999999997,27401,8.122970029944554e-08
143,28600,-200.0,200,0,0.4308799,27601,2.8510794436442666e-07
144,28800,-200.0,200,0,0.4268999,27801,2.2015060494595673e-06
145,29000,-200.0,200,0,0.4229198999999999,28001,6.70298049953999e-07
146,29200,-200.0,200,0,0.4189398999999999,28201,7.0598362071905285e-06
147,29400,-200.0,200,0,0.41495990000000005,28401,1.409631749993423e-06
148,29600,-200.0,200,0,0.41097990000000006,28601,3.227110028092284e-07
149,29800,-200.0,200,0,0.4069999000000001,28801,5.52529854758177e-07
150,30000,-200.0,200,0,0.4030199000000001,29001,1.4762428691028617e-05
