evaluation_episode,evaluation_seed,return,length,success
1,10000,-109.0,109,1
2,10001,-107.0,107,1
3,10002,-109.0,109,1
4,10003,-108.0,108,1
5,10004,-106.0,106,1
6,10005,-113.0,113,1
7,10006,-113.0,113,1
8,10007,-106.0,106,1
9,10008,-109.0,109,1
10,10009,-109.0,109,1
11,10010,-114.0,114,1
12,10011,-110.0,110,1
13,10012,-115.0,115,1
14,10013,-110.0,110,1
15,10014,-114.0,114,1
16,10015,-110.0,110,1
17,10016,-114.0,114,1
18,10017,-109.0,109,1
19,10018,-111.0,111,1
20,10019,-108.0,108,1
21,10020,-114.0,114,1
22,10021,-113.0,113,1
23,10022,-107.0,107,1
24,10023,-108.0,108,1
25,10024,-112.0,112,1
26,10025,-109.0,109,1
27,10026,-87.0,87,1
28,10027,-112.0,112,1
29,10028,-113.0,113,1
30,10029,-112.0,112,1
31,10030,-112.0,112,1
32,10031,-111.0,111,1
33,10032,-86.0,86,1
34,10033,-114.0,114,1
35,10034,-109.0,109,1
36,10035,-112.0,112,1
37,10036,-115.0,115,1
38,10037,-110.0,110,1
39,10038,-88.0,88,1
40,10039,-112.0,112,1
41,10040,-111.0,111,1
42,10041,-109.0,109,1
43,10042,-108.0,108,1
44,10043,-107.0,107,1
45,10044,-109.0,109,1
46,10045,-108.0,108,1
47,10046,-110.0,110,1
48,10047,-109.0,109,1
49,10048,-109.0,109,1
50,10049,-109.0,109,1
51,10050,-112.0,112,1
52,10051,-113.0,113,1
53,10052,-109.0,109,1
54,10053,-111.0,111,1
55,10054,-108.0,108,1
56,10055,-113.0,113,1
57,10056,-111.0,111,1
58,10057,-112.0,112,1
59,10058,-113.0,113,1
60,10059,-112.0,112,1
61,10060,-111.0,111,1
62,10061,-109.0,109,1
63,10062,-88.0,88,1
64,10063,-113.0,113,1
65,10064,-86.0,86,1
66,10065,-113.0,113,1
67,10066,-112.0,112,1
68,10067,-109.0,109,1
69,10068,-106.0,106,1
70,10069,-86.0,86,1
71,10070,-114.0,114,1
72,10071,-110.0,110,1
73,10072,-112.0,112,1
74,10073,-87.0,87,1
75,10074,-107.0,107,1
76,10075,-112.0,112,1
77,10076,-108.0,108,1
78,10077,-111.0,111,1
79,10078,-109.0,109,1
80,10079,-113.0,113,1
81,10080,-113.0,113,1
82,10081,-88.0,88,1
83,10082,-109.0,109,1
84,10083,-111.0,111,1
85,10084,-112.0,112,1
86,10085,-110.0,110,1
87,10086,-109.0,109,1
88,10087,-113.0,113,1
89,10088,-109.0,109,1
90,10089,-108.0,108,1
91,10090,-112.0,112,1
92,10091,-112.0,112,1
93,10092,-112.0,112,1
94,10093,-88.0,88,1
95,10094,-113.0,113,1
96,10095,-108.0,108,1
97,10096,-110.0,110,1
98,10097,-109.0,109,1
99,10098,-109.0,109,1
100,10099,-109.0,109,1
