episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,2,198,0,0,
2,400,-200.0,200,0,0.9920599,0,200,0,0,
3,600,-200.0,200,0,0.9880799,5,195,0,0,
4,800,-200.0,200,0,0.9840999,2,198,0,0,
5,1000,-200.0,200,0,0.9801199,5,195,0,1,0.4523613452911377
6,1200,-200.0,200,0,0.9761399,5,195,2,201,0.00013044333900325
7,1400,-200.0,200,0,0.9721599,6,194,0,401,0.00011170556535944343
8,1600,-200.0,200,0,0.9681799,4,196,0,601,0.00013539777137339115
9,1800,-200.0,200,0,0.9641999,7,193,0,801,3.0348674044944346e-06
10,2000,-200.0,200,0,0.9602199,7,193,0,1001,7.871857087593526e-05
11,2200,-200.0,200,0,0.9562399,10,190,0,1201,5.099584086565301e-05
12,2400,-200.0,200,0,0.9522599,6,194,0,1401,3.7274963688105345e-05
13,2600,-200.0,200,0,0.9482799,7,193,0,1601,4.8171874368563294e-05
14,2800,-200.0,200,0,0.9442999,9,191,0,1801,3.4509961551520973e-05
15,3000,-200.0,200,0,0.9403199,11,189,0,2001,2.0304578356444836e-05
16,3200,-200.0,200,0,0.9363399,8,192,0,2201,2.4584620405221358e-05
17,3400,-200.0,200,0,0.9323599,11,189,0,2401,1.3147730896889698e-05
18,3600,-200.0,200,0,0.9283799,16,184,0,2601,1.795653770386707e-05
19,3800,-200.0,200,0,0.9243999,15,185,0,2801,2.2852482288726605e-05
20,4000,-200.0,200,0,0.9204199,19,181,0,3001,1.81005489139352e-05
21,4200,-200.0,200,0,0.9164399,15,185,0,3201,1.776179124135524e-05
22,4400,-200.0,200,0,0.9124599,18,182,0,3401,1.4706167348776944e-05
23,4600,-200.0,200,0,0.9084799,18,182,0,3601,9.292496542911977e-06
24,4800,-200.0,200,0,0.9044999,15,185,0,3801,1.069845075107878e-05
25,5000,-200.0,200,0,0.9005199,23,177,0,4001,7.645934601896442e-06
26,5200,-200.0,200,0,0.8965399000000001,21,179,0,4201,1.347585566691123e-05
27,5400,-200.0,200,0,0.8925599,23,177,0,4401,6.953166121093091e-06
28,5600,-200.0,200,0,0.8885799,26,174,0,4601,1.2535785572254099e-05
29,5800,-200.0,200,0,0.8845999,26,174,0,4801,1.1308266039122827e-05
30,6000,-200.0,200,0,0.8806199,20,180,0,5001,2.1817821107106283e-05
31,6200,-200.0,200,0,0.8766399,21,179,0,5201,1.161227010015864e-05
