evaluation_episode,evaluation_seed,return,length,success
1,10000,-180.0,180,1
2,10001,-180.0,180,1
3,10002,-182.0,182,1
4,10003,-182.0,182,1
5,10004,-186.0,186,1
6,10005,-154.0,154,1
7,10006,-154.0,154,1
8,10007,-184.0,184,1
9,10008,-181.0,181,1
10,10009,-180.0,180,1
11,10010,-155.0,155,1
12,10011,-178.0,178,1
13,10012,-156.0,156,1
14,10013,-168.0,168,1
15,10014,-155.0,155,1
16,10015,-179.0,179,1
17,10016,-156.0,156,1
18,10017,-182.0,182,1
19,10018,-168.0,168,1
20,10019,-182.0,182,1
21,10020,-155.0,155,1
22,10021,-153.0,153,1
23,10022,-180.0,180,1
24,10023,-181.0,181,1
25,10024,-160.0,160,1
26,10025,-181.0,181,1
27,10026,-187.0,187,1
28,10027,-158.0,158,1
29,10028,-157.0,157,1
30,10029,-158.0,158,1
31,10030,-157.0,157,1
32,10031,-162.0,162,1
33,10032,-129.0,129,1
34,10033,-155.0,155,1
35,10034,-181.0,181,1
36,10035,-160.0,160,1
37,10036,-158.0,158,1
38,10037,-179.0,179,1
39,10038,-183.0,183,1
40,10039,-160.0,160,1
41,10040,-165.0,165,1
42,10041,-182.0,182,1
43,10042,-182.0,182,1
44,10043,-181.0,181,1
45,10044,-180.0,180,1
46,10045,-182.0,182,1
47,10046,-179.0,179,1
48,10047,-182.0,182,1
49,10048,-181.0,181,1
50,10049,-181.0,181,1
51,10050,-159.0,159,1
52,10051,-153.0,153,1
53,10052,-180.0,180,1
54,10053,-166.0,166,1
55,10054,-182.0,182,1
56,10055,-155.0,155,1
57,10056,-165.0,165,1
58,10057,-170.0,170,1
59,10058,-156.0,156,1
60,10059,-157.0,157,1
61,10060,-168.0,168,1
62,10061,-180.0,180,1
63,10062,-187.0,187,1
64,10063,-155.0,155,1
65,10064,-139.0,139,1
66,10065,-154.0,154,1
67,10066,-157.0,157,1
68,10067,-181.0,181,1
69,10068,-185.0,185,1
70,10069,-200.0,200,0
71,10070,-155.0,155,1
72,10071,-169.0,169,1
73,10072,-157.0,157,1
74,10073,-185.0,185,1
75,10074,-181.0,181,1
76,10075,-159.0,159,1
77,10076,-181.0,181,1
78,10077,-167.0,167,1
79,10078,-180.0,180,1
80,10079,-154.0,154,1
81,10080,-156.0,156,1
82,10081,-187.0,187,1
83,10082,-181.0,181,1
84,10083,-165.0,165,1
85,10084,-160.0,160,1
86,10085,-174.0,174,1
87,10086,-180.0,180,1
88,10087,-153.0,153,1
89,10088,-181.0,181,1
90,10089,-182.0,182,1
91,10090,-157.0,157,1
92,10091,-159.0,159,1
93,10092,-160.0,160,1
94,10093,-183.0,183,1
95,10094,-154.0,154,1
96,10095,-182.0,182,1
97,10096,-169.0,169,1
98,10097,-180.0,180,1
99,10098,-180.0,180,1
100,10099,-182.0,182,1
