evaluation_episode,evaluation_seed,return,length,success
1,10000,-169.0,169,1
2,10001,-94.0,94,1
3,10002,-104.0,104,1
4,10003,-96.0,96,1
5,10004,-87.0,87,1
6,10005,-151.0,151,1
7,10006,-149.0,149,1
8,10007,-88.0,88,1
9,10008,-189.0,189,1
10,10009,-169.0,169,1
11,10010,-150.0,150,1
12,10011,-166.0,166,1
13,10012,-150.0,150,1
14,10013,-159.0,159,1
15,10014,-150.0,150,1
16,10015,-164.0,164,1
17,10016,-150.0,150,1
18,10017,-122.0,122,1
19,10018,-159.0,159,1
20,10019,-98.0,98,1
21,10020,-150.0,150,1
22,10021,-150.0,150,1
23,10022,-93.0,93,1
24,10023,-100.0,100,1
25,10024,-150.0,150,1
26,10025,-109.0,109,1
27,10026,-85.0,85,1
28,10027,-151.0,151,1
29,10028,-151.0,151,1
30,10029,-150.0,150,1
31,10030,-151.0,151,1
32,10031,-153.0,153,1
33,10032,-83.0,83,1
34,10033,-150.0,150,1
35,10034,-185.0,185,1
36,10035,-149.0,149,1
37,10036,-150.0,150,1
38,10037,-167.0,167,1
39,10038,-86.0,86,1
40,10039,-149.0,149,1
41,10040,-153.0,153,1
42,10041,-125.0,125,1
43,10042,-99.0,99,1
44,10043,-89.0,89,1
45,10044,-114.0,114,1
46,10045,-96.0,96,1
47,10046,-167.0,167,1
48,10047,-122.0,122,1
49,10048,-182.0,182,1
50,10049,-173.0,173,1
51,10050,-152.0,152,1
52,10051,-151.0,151,1
53,10052,-169.0,169,1
54,10053,-156.0,156,1
55,10054,-98.0,98,1
56,10055,-151.0,151,1
57,10056,-155.0,155,1
58,10057,-152.0,152,1
59,10058,-151.0,151,1
60,10059,-151.0,151,1
61,10060,-159.0,159,1
62,10061,-180.0,180,1
63,10062,-87.0,87,1
64,10063,-151.0,151,1
65,10064,-84.0,84,1
66,10065,-150.0,150,1
67,10066,-151.0,151,1
68,10067,-109.0,109,1
69,10068,-87.0,87,1
70,10069,-84.0,84,1
71,10070,-150.0,150,1
72,10071,-160.0,160,1
73,10072,-152.0,152,1
74,10073,-86.0,86,1
75,10074,-89.0,89,1
76,10075,-152.0,152,1
77,10076,-100.0,100,1
78,10077,-157.0,157,1
79,10078,-121.0,121,1
80,10079,-151.0,151,1
81,10080,-151.0,151,1
82,10081,-87.0,87,1
83,10082,-190.0,190,1
84,10083,-155.0,155,1
85,10084,-150.0,150,1
86,10085,-161.0,161,1
87,10086,-169.0,169,1
88,10087,-151.0,151,1
89,10088,-109.0,109,1
90,10089,-97.0,97,1
91,10090,-151.0,151,1
92,10091,-152.0,152,1
93,10092,-150.0,150,1
94,10093,-86.0,86,1
95,10094,-149.0,149,1
96,10095,-99.0,99,1
97,10096,-160.0,160,1
98,10097,-170.0,170,1
99,10098,-170.0,170,1
100,10099,-105.0,105,1
