episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,200,0,0,
2,400,-200.0,200,0,0.9920599,1,199,0,0,
3,600,-200.0,200,0,0.9880799,1,199,0,0,
4,800,-200.0,200,0,0.9840999,2,198,0,0,
5,1000,-200.0,200,0,0.9801199,1,199,0,1,0.3676162362098694
6,1200,-200.0,200,0,0.9761399,4,196,1,201,0.00029002310475334525
7,1400,-200.0,200,0,0.9721599,3,197,0,401,0.000166357058333233
8,1600,-200.0,200,0,0.9681799,3,197,0,601,6.7432720243232325e-06
9,1800,-200.0,200,0,0.9641999,5,195,0,801,9.865834726952016e-05
10,2000,-200.0,200,0,0.9602199,9,191,0,1001,9.60382167249918e-05
11,2200,-200.0,200,0,0.9562399,8,192,0,1201,0.00010476858005858958
12,2400,-200.0,200,0,0.9522599,5,195,0,1401,7.61099363444373e-05
13,2600,-200.0,200,0,0.9482799,9,191,0,1601,6.574220606125891e-05
14,2800,-200.0,200,0,0.9442999,11,189,0,1801,7.863626524340361e-05
15,3000,-200.0,200,0,0.9403199,15,185,0,2001,6.556353037012741e-05
16,3200,-200.0,200,0,0.9363399,10,190,0,2201,5.681598850060254e-05
17,3400,-200.0,200,0,0.9323599,17,183,0,2401,4.990006345906295e-05
18,3600,-200.0,200,0,0.9283799,9,191,0,2601,6.458262214437127e-05
19,3800,-200.0,200,0,0.9243999,23,177,0,2801,5.1357281336095184e-05
20,4000,-200.0,200,0,0.9204199,12,188,0,3001,5.1319439080543816e-05
21,4200,-200.0,200,0,0.9164399,20,180,0,3201,5.059438990429044e-05
22,4400,-200.0,200,0,0.9124599,18,182,0,3401,5.210308881942183e-05
23,4600,-200.0,200,0,0.9084799,24,176,0,3601,3.851477231364697e-05
24,4800,-200.0,200,0,0.9044999,20,180,0,3801,4.1997689550044015e-05
25,5000,-200.0,200,0,0.9005199,18,182,0,4001,4.2808424041140825e-05
26,5200,-200.0,200,0,0.8965399000000001,23,177,0,4201,3.087996810791083e-05
27,5400,-200.0,200,0,0.8925599,22,178,0,4401,3.6331857700133696e-05
28,5600,-200.0,200,0,0.8885799,21,179,0,4601,3.983291026088409e-05
29,5800,-200.0,200,0,0.8845999,25,175,0,4801,2.0997931642341428e-05
30,6000,-200.0,200,0,0.8806199,33,167,0,5001,2.917458004958462e-05
31,6200,-200.0,200,0,0.8766399,30,170,0,5201,1.6817844880279154e-05
32,6400,-200.0,200,0,0.8726598999999999,26,174,0,5401,1.997086474148091e-05
33,6600,-200.0,200,0,0.8686799000000001,27,173,0,5601,1.447343220206676e-05
34,6800,-200.0,200,0,0.8646999,20,180,0,5801,1.4649809600086883e-05
35,7000,-200.0,200,0,0.8607199,27,173,0,6001,1.5696114132879302e-05
36,7200,-200.0,200,0,0.8567399,25,175,0,6201,1.1738641660485882e-05
37,7400,-200.0,200,0,0.8527599,25,175,0,6401,1.0274914529873058e-05
38,7600,-200.0,200,0,0.8487799,27,173,0,6601,5.606103059108136e-06
39,7800,-200.0,200,0,0.8447998999999999,29,171,0,6801,7.617362825840246e-06
40,8000,-200.0,200,0,0.8408199,35,165,0,7001,6.041297183401184e-06
41,8200,-200.0,200,0,0.8368399,35,165,0,7201,4.789985723618884e-06
42,8400,-200.0,200,0,0.8328599,25,175,0,7401,3.4215736377518624e-06
43,8600,-200.0,200,0,0.8288799,31,169,0,7601,3.0147652978484984e-06
44,8800,-200.0,200,0,0.8248999,33,167,0,7801,3.7187217003520345e-06
45,9000,-200.0,200,0,0.8209199,35,165,0,8001,3.491240477160318e-06
46,9200,-200.0,200,0,0.8169398999999999,35,165,0,8201,2.30348996410612e-06
