episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,2,198,0,0,
2,400,-200.0,200,0,0.9920599,0,200,0,0,
3,600,-200.0,200,0,0.9880799,5,195,0,0,
4,800,-200.0,200,0,0.9840999,2,198,0,0,
5,1000,-200.0,200,0,0.9801199,5,195,0,1,0.4523613452911377
6,1200,-200.0,200,0,0.9761399,5,195,2,201,0.00013044402294326574
7,1400,-200.0,200,0,0.9721599,6,194,0,401,0.00011170497600687668
8,1600,-200.0,200,0,0.9681799,4,196,0,601,0.000135398207930848
9,1800,-200.0,200,0,0.9641999,7,193,0,801,3.0348335258167936e-06
10,2000,-200.0,200,0,0.9602199,7,193,0,1001,7.871925481595099e-05
