episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.4523613452911377
6,1200,-200.0,200,0,0.9761399,201,0.0002872272743843496
7,1400,-200.0,200,0,0.9721599,401,0.0002401681267656386
8,1600,-200.0,200,0,0.9681799,601,0.00022448066738434136
9,1800,-200.0,200,0,0.9641999,801,0.00035504018887877464
10,2000,-200.0,200,0,0.9602199,1001,0.00029834298766218126
11,2200,-200.0,200,0,0.9562399,1201,0.00043288120650686324
12,2400,-200.0,200,0,0.9522599,1401,0.00035850517451763153
13,2600,-200.0,200,0,0.9482799,1601,0.0003475492703728378
14,2800,-200.0,200,0,0.9442999,1801,0.00032491207821294665
15,3000,-200.0,200,0,0.9403199,2001,0.00023978864192031324
16,3200,-200.0,200,0,0.9363399,2201,0.00022546868422068655
17,3400,-200.0,200,0,0.9323599,2401,0.00035054824547842145
18,3600,-200.0,200,0,0.9283799,2601,0.0004213257343508303
19,3800,-200.0,200,0,0.9243999,2801,0.00026766012888401747
20,4000,-200.0,200,0,0.9204199,3001,0.0003903582110069692
21,4200,-200.0,200,0,0.9164399,3201,0.0002998546988237649
22,4400,-200.0,200,0,0.9124599,3401,0.0003104923525825143
23,4600,-200.0,200,0,0.9084799,3601,0.0003507761866785586
24,4800,-200.0,200,0,0.9044999,3801,0.00028169434517621994
25,5000,-200.0,200,0,0.9005199,4001,0.00013178252265788615
26,5200,-200.0,200,0,0.8965399000000001,4201,0.0001552648318465799
27,5400,-200.0,200,0,0.8925599,4401,9.969231905415654e-05
28,5600,-200.0,200,0,0.8885799,4601,9.435118408873677e-05
29,5800,-200.0,200,0,0.8845999,4801,8.601327135693282e-05
30,6000,-200.0,200,0,0.8806199,5001,6.831184873590246e-05
31,6200,-200.0,200,0,0.8766399,5201,4.8274636355927214e-05
32,6400,-200.0,200,0,0.8726598999999999,5401,3.0143412004690617e-05
33,6600,-200.0,200,0,0.8686799000000001,5601,1.1520254702190869e-05
34,6800,-200.0,200,0,0.8646999,5801,3.429872231208719e-05
35,7000,-200.0,200,0,0.8607199,6001,2.81736229226226e-05
36,7200,-200.0,200,0,0.8567399,6201,2.6054720365209505e-05
37,7400,-200.0,200,0,0.8527599,6401,2.485606501068105e-06
38,7600,-200.0,200,0,0.8487799,6601,7.1310760176857e-06
39,7800,-200.0,200,0,0.8447998999999999,6801,1.5734791304566897e-05
40,8000,-200.0,200,0,0.8408199,7001,1.014229201246053e-05
41,8200,-200.0,200,0,0.8368399,7201,9.287867214879952e-06
42,8400,-200.0,200,0,0.8328599,7401,1.9961404177593067e-05
43,8600,-200.0,200,0,0.8288799,7601,1.1502361303428188e-05
44,8800,-200.0,200,0,0.8248999,7801,7.99833196651889e-06
45,9000,-200.0,200,0,0.8209199,8001,8.762750439927913e-06
46,9200,-200.0,200,0,0.8169398999999999,8201,2.311791104148142e-05
47,9400,-200.0,200,0,0.8129599,8401,2.384073923167307e-05
48,9600,-200.0,200,0,0.8089799,8601,3.7332254578359425e-05
49,9800,-200.0,200,0,0.8049999,8801,5.076751403976232e-05
50,10000,-200.0,200,0,0.8010199,9001,2.5660645405878313e-05
51,10200,-200.0,200,0,0.7970399,9201,2.807629971357528e-05
52,10400,-200.0,200,0,0.7930599,9401,4.2145897168666124e-05
53,10600,-200.0,200,0,0.7890799,9601,2.2374118998413906e-05
54,10800,-200.0,200,0,0.7850999,9801,3.6971468944102526e-05
55,11000,-200.0,200,0,0.7811199,10001,2.8252776246517897e-05
56,11200,-200.0,200,0,0.7771399,10201,2.6124103897018358e-05
57,11400,-200.0,200,0,0.7731599,10401,5.192016396904364e-05
58,11600,-200.0,200,0,0.7691799,10601,3.6790363083127886e-05
59,11800,-200.0,200,0,0.7651999,10801,7.561816892120987e-05
60,12000,-200.0,200,0,0.7612199,11001,5.9642708947649226e-05
61,12200,-200.0,200,0,0.7572399,11201,3.038587783521507e-05
62,12400,-200.0,200,0,0.7532599,11401,1.1676865142362658e-05
63,12600,-200.0,200,0,0.7492799,11601,2.4243337975349277e-05
64,12800,-200.0,200,0,0.7452999,11801,5.5504642659798265e-05
65,13000,-200.0,200,0,0.7413199,12001,1.9432576664257795e-05
66,13200,-200.0,200,0,0.7373399,12201,3.394469240447506e-05
67,13400,-200.0,200,0,0.7333599,12401,4.218914546072483e-05
68,13600,-200.0,200,0,0.7293799000000001,12601,5.492933723871829e-06
69,13800,-200.0,200,0,0.7253999,12801,5.400923691922799e-05
70,14000,-200.0,200,0,0.7214199,13001,1.937143679242581e-05
71,14200,-200.0,200,0,0.7174399,13201,2.288217729073949e-05
72,14400,-200.0,200,0,0.7134598999999999,13401,2.230589416285511e-05
73,14600,-200.0,200,0,0.7094799,13601,3.8642134313704446e-05
74,14800,-200.0,200,0,0.7054999,13801,2.330003189854324e-05
75,15000,-200.0,200,0,0.7015199,14001,3.622755320975557e-05
76,15200,-200.0,200,0,0.6975399,14201,2.2244978026719764e-05
77,15400,-200.0,200,0,0.6935599,14401,3.929634112864733e-05
78,15600,-200.0,200,0,0.6895799,14601,9.663386299507692e-05
79,15800,-200.0,200,0,0.6855999,14801,6.866976764285937e-05
80,16000,-200.0,200,0,0.6816199000000001,15001,4.5739034248981625e-05
81,16200,-200.0,200,0,0.6776399,15201,3.8730235246475786e-05
82,16400,-200.0,200,0,0.6736599000000001,15401,1.4729369468113873e-05
83,16600,-200.0,200,0,0.6696799,15601,3.5994467907585204e-05
84,16800,-200.0,200,0,0.6656999,15801,6.387470057234168e-05
85,17000,-200.0,200,0,0.6617199,16001,4.983538019587286e-05
86,17200,-200.0,200,0,0.6577398999999999,16201,1.7134711015387438e-05
87,17400,-200.0,200,0,0.6537599000000001,16401,6.647441477980465e-05
88,17600,-200.0,200,0,0.6497799,16601,1.8581562471808866e-05
89,17800,-200.0,200,0,0.6457999,16801,4.9305141146760434e-05
90,18000,-200.0,200,0,0.6418199,17001,4.041236388729885e-05
91,18200,-200.0,200,0,0.6378398999999999,17201,8.46466064103879e-05
92,18400,-200.0,200,0,0.6338599,17401,6.567205855390057e-05
93,18600,-200.0,200,0,0.6298799,17601,4.580962922773324e-05
94,18800,-200.0,200,0,0.6258999000000001,17801,4.3719730456359684e-05
95,19000,-200.0,200,0,0.6219199,18001,3.8544563722098246e-05
96,19200,-200.0,200,0,0.6179399,18201,7.314210961339995e-05
97,19400,-200.0,200,0,0.6139599,18401,0.00012797689123544842
98,19600,-200.0,200,0,0.6099799,18601,9.109624807024375e-05
99,19800,-200.0,200,0,0.6059999,18801,5.445597707876004e-05
100,20000,-200.0,200,0,0.6020198999999999,19001,2.73014884442091e-05
101,20200,-200.0,200,0,0.5980399000000001,19201,1.7451608073315583e-05
102,20400,-200.0,200,0,0.5940599,19401,2.942353967227973e-05
103,20600,-200.0,200,0,0.5900799,19601,9.80897166300565e-05
104,20800,-200.0,200,0,0.5860999,19801,1.4632683814852498e-05
105,21000,-200.0,200,0,0.5821198999999999,20001,3.8727910578018054e-05
106,21200,-200.0,200,0,0.5781399,20201,2.75173551926855e-05
107,21400,-200.0,200,0,0.5741599,20401,5.506488014361821e-05
108,21600,-200.0,200,0,0.5701799000000001,20601,1.2945465641678311e-05
109,21800,-200.0,200,0,0.5661999,20801,6.718489748891443e-05
110,22000,-200.0,200,0,0.5622199,21001,4.265259485691786e-05
111,22200,-200.0,200,0,0.5582399,21201,0.00019720593991223723
112,22400,-200.0,200,0,0.5542599,21401,5.68656250834465e-05
113,22600,-200.0,200,0,0.5502799,21601,2.3047725335345604e-05
114,22800,-200.0,200,0,0.5462999,21801,6.7047709308099e-05
115,23000,-200.0,200,0,0.5423199000000001,22001,4.165504651609808e-05
116,23200,-200.0,200,0,0.5383399,22201,3.8175887311808765e-05
117,23400,-200.0,200,0,0.5343599,22401,8.41420260258019e-05
118,23600,-200.0,200,0,0.5303799,22601,0.00011501072731334716
119,23800,-200.0,200,0,0.5263998999999999,22801,6.527916411869228e-05
120,24000,-200.0,200,0,0.5224199,23001,9.371383202960715e-05
121,24200,-200.0,200,0,0.5184399,23201,0.00020426316768862307
122,24400,-200.0,200,0,0.5144599,23401,1.9125382095808163e-05
123,24600,-200.0,200,0,0.5104799,23601,3.277129144407809e-05
124,24800,-200.0,200,0,0.5064999,23801,1.872445318440441e-05
125,25000,-200.0,200,0,0.5025199,24001,6.187068356666714e-05
126,25200,-200.0,200,0,0.49853990000000004,24201,4.17196424677968e-05
127,25400,-200.0,200,0,0.49455990000000005,24401,6.090268288971856e-05
128,25600,-200.0,200,0,0.49057989999999996,24601,0.00015014829114079475
129,25800,-200.0,200,0,0.4865999,24801,8.631712989881635e-05
130,26000,-200.0,200,0,0.4826199,25001,9.542240150040016e-05
131,26200,-200.0,200,0,0.4786399,25201,0.00010426415974507108
132,26400,-200.0,200,0,0.4746599,25401,2.7912366931559518e-05
133,26600,-200.0,200,0,0.47067990000000004,25601,7.906975952209905e-05
134,26800,-200.0,200,0,0.46669989999999995,25801,0.00022036494920030236
135,27000,-200.0,200,0,0.46271989999999996,26001,0.00011241276661166921
136,27200,-200.0,200,0,0.4587399,26201,0.0001818944583646953
137,27400,-200.0,200,0,0.4547599,26401,8.577362314099446e-05
138,27600,-200.0,200,0,0.4507799,26601,8.425871055806056e-05
139,27800,-200.0,200,0,0.4467999,26801,8.324580994667485e-05
140,28000,-200.0,200,0,0.44281989999999993,27001,0.00010636613296810538
141,28200,-200.0,200,0,0.43883989999999995,27201,0.00011821827501989901
142,28400,-200.0,200,0,0.43485989999999997,27401,0.0001701517030596733
143,28600,-200.0,200,0,0.4308799,27601,0.00017783153452910483
144,28800,-200.0,200,0,0.4268999,27801,0.00011756435560528189
145,29000,-200.0,200,0,0.4229198999999999,28001,0.00020954906358383596
146,29200,-200.0,200,0,0.4189398999999999,28201,0.00034818434505723417
147,29400,-200.0,200,0,0.41495990000000005,28401,9.40262689255178e-05
148,29600,-200.0,200,0,0.41097990000000006,28601,0.00014430172450374812
149,29800,-200.0,200,0,0.4069999000000001,28801,3.968997043557465e-05
150,30000,-200.0,200,0,0.4030199000000001,29001,0.00016116412007249892
