evaluation_episode,evaluation_seed,return,length,success
1,10000,-165.0,165,1
2,10001,-104.0,104,1
3,10002,-185.0,185,1
4,10003,-114.0,114,1
5,10004,-94.0,94,1
6,10005,-167.0,167,1
7,10006,-200.0,200,0
8,10007,-95.0,95,1
9,10008,-163.0,163,1
10,10009,-166.0,166,1
11,10010,-200.0,200,0
12,10011,-164.0,164,1
13,10012,-200.0,200,0
14,10013,-164.0,164,1
15,10014,-200.0,200,0
16,10015,-166.0,166,1
17,10016,-200.0,200,0
18,10017,-163.0,163,1
19,10018,-164.0,164,1
20,10019,-124.0,124,1
21,10020,-200.0,200,0
22,10021,-200.0,200,0
23,10022,-104.0,104,1
24,10023,-128.0,128,1
25,10024,-200.0,200,0
26,10025,-160.0,160,1
27,10026,-90.0,90,1
28,10027,-167.0,167,1
29,10028,-168.0,168,1
30,10029,-200.0,200,0
31,10030,-166.0,166,1
32,10031,-200.0,200,0
33,10032,-88.0,88,1
34,10033,-200.0,200,0
35,10034,-163.0,163,1
36,10035,-200.0,200,0
37,10036,-200.0,200,0
38,10037,-165.0,165,1
39,10038,-92.0,92,1
40,10039,-200.0,200,0
41,10040,-166.0,166,1
42,10041,-163.0,163,1
43,10042,-131.0,131,1
44,10043,-97.0,97,1
45,10044,-160.0,160,1
46,10045,-108.0,108,1
47,10046,-165.0,165,1
48,10047,-163.0,163,1
49,10048,-163.0,163,1
50,10049,-165.0,165,1
51,10050,-165.0,165,1
52,10051,-168.0,168,1
53,10052,-166.0,166,1
54,10053,-166.0,166,1
55,10054,-124.0,124,1
56,10055,-166.0,166,1
57,10056,-167.0,167,1
58,10057,-164.0,164,1
59,10058,-167.0,167,1
60,10059,-168.0,168,1
61,10060,-164.0,164,1
62,10061,-163.0,163,1
63,10062,-93.0,93,1
64,10063,-166.0,166,1
65,10064,-88.0,88,1
66,10065,-200.0,200,0
67,10066,-166.0,166,1
68,10067,-160.0,160,1
69,10068,-94.0,94,1
70,10069,-89.0,89,1
71,10070,-200.0,200,0
72,10071,-164.0,164,1
73,10072,-168.0,168,1
74,10073,-92.0,92,1
75,10074,-97.0,97,1
76,10075,-165.0,165,1
77,10076,-128.0,128,1
78,10077,-165.0,165,1
79,10078,-163.0,163,1
80,10079,-167.0,167,1
81,10080,-168.0,168,1
82,10081,-93.0,93,1
83,10082,-163.0,163,1
84,10083,-166.0,166,1
85,10084,-200.0,200,0
86,10085,-164.0,164,1
87,10086,-166.0,166,1
88,10087,-168.0,168,1
89,10088,-160.0,160,1
90,10089,-120.0,120,1
91,10090,-166.0,166,1
92,10091,-165.0,165,1
93,10092,-200.0,200,0
94,10093,-92.0,92,1
95,10094,-200.0,200,0
96,10095,-129.0,129,1
97,10096,-164.0,164,1
98,10097,-167.0,167,1
99,10098,-166.0,166,1
100,10099,-184.0,184,1
