episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.4523613452911377
6,1200,-200.0,200,0,0.9761399,201,0.0002208163496106863
7,1400,-200.0,200,0,0.9721599,401,0.0002514901279937476
8,1600,-200.0,200,0,0.9681799,601,0.00024978199508041143
9,1800,-200.0,200,0,0.9641999,801,0.0002725835074670613
10,2000,-200.0,200,0,0.9602199,1001,3.169166302541271e-05
11,2200,-200.0,200,0,0.9562399,1201,0.00018232446745969355
12,2400,-200.0,200,0,0.9522599,1401,0.00027963818865828216
13,2600,-200.0,200,0,0.9482799,1601,0.0002075011725537479
14,2800,-200.0,200,0,0.9442999,1801,0.00019381944730412215
15,3000,-200.0,200,0,0.9403199,2001,0.00025434853159822524
16,3200,-200.0,200,0,0.9363399,2201,0.0001996253995457664
17,3400,-200.0,200,0,0.9323599,2401,0.00030220646294765174
18,3600,-200.0,200,0,0.9283799,2601,0.00030688729020766914
19,3800,-200.0,200,0,0.9243999,2801,0.00016966341354418546
20,4000,-200.0,200,0,0.9204199,3001,0.00021837142412550747
21,4200,-200.0,200,0,0.9164399,3201,0.00028070295229554176
22,4400,-200.0,200,0,0.9124599,3401,0.0002539918350521475
23,4600,-200.0,200,0,0.9084799,3601,0.00019843372865580022
24,4800,-200.0,200,0,0.9044999,3801,0.00015088549116626382
25,5000,-200.0,200,0,0.9005199,4001,0.00013488154218066484
26,5200,-200.0,200,0,0.8965399000000001,4201,8.814636385068297e-05
27,5400,-200.0,200,0,0.8925599,4401,8.23141890577972e-05
28,5600,-200.0,200,0,0.8885799,4601,7.665676821488887e-05
29,5800,-200.0,200,0,0.8845999,4801,3.5689339711098e-05
30,6000,-200.0,200,0,0.8806199,5001,2.322850559721701e-05
31,6200,-200.0,200,0,0.8766399,5201,3.1449242669623345e-05
32,6400,-200.0,200,0,0.8726598999999999,5401,1.3695773304789327e-05
33,6600,-200.0,200,0,0.8686799000000001,5601,4.576120772981085e-06
34,6800,-200.0,200,0,0.8646999,5801,1.0191521141678095e-05
35,7000,-200.0,200,0,0.8607199,6001,9.839790436672047e-06
36,7200,-200.0,200,0,0.8567399,6201,1.921243438118836e-06
37,7400,-200.0,200,0,0.8527599,6401,7.475766324205324e-06
38,7600,-200.0,200,0,0.8487799,6601,7.236945748445578e-06
39,7800,-200.0,200,0,0.8447998999999999,6801,9.798446626518853e-06
40,8000,-200.0,200,0,0.8408199,7001,0.00010996287892339751
41,8200,-200.0,200,0,0.8368399,7201,3.7820846046088263e-05
42,8400,-200.0,200,0,0.8328599,7401,2.0025163394166157e-05
43,8600,-200.0,200,0,0.8288799,7601,2.825936462613754e-05
44,8800,-200.0,200,0,0.8248999,7801,4.4634052756009623e-05
45,9000,-200.0,200,0,0.8209199,8001,0.0001856954040704295
46,9200,-200.0,200,0,0.8169398999999999,8201,4.4781671022064984e-05
47,9400,-200.0,200,0,0.8129599,8401,9.397274698130786e-05
48,9600,-200.0,200,0,0.8089799,8601,0.0001613764325156808
49,9800,-200.0,200,0,0.8049999,8801,7.887696119723842e-05
50,10000,-200.0,200,0,0.8010199,9001,6.527791265398264e-05
51,10200,-200.0,200,0,0.7970399,9201,6.627744733123109e-05
52,10400,-200.0,200,0,0.7930599,9401,7.897417526692152e-05
53,10600,-200.0,200,0,0.7890799,9601,5.933066495344974e-05
54,10800,-200.0,200,0,0.7850999,9801,8.262804476544261e-05
55,11000,-200.0,200,0,0.7811199,10001,0.00011779180204030126
56,11200,-200.0,200,0,0.7771399,10201,3.5076092899544165e-05
57,11400,-200.0,200,0,0.7731599,10401,5.901382974116132e-05
58,11600,-200.0,200,0,0.7691799,10601,0.00015230840654112399
59,11800,-200.0,200,0,0.7651999,10801,0.00012275759945623577
60,12000,-200.0,200,0,0.7612199,11001,0.00011641385935945436
61,12200,-200.0,200,0,0.7572399,11201,6.656956975348294e-05
62,12400,-200.0,200,0,0.7532599,11401,0.00022209453163668513
63,12600,-200.0,200,0,0.7492799,11601,3.291159009677358e-05
64,12800,-200.0,200,0,0.7452999,11801,6.178903277032077e-05
65,13000,-200.0,200,0,0.7413199,12001,4.6467921492876485e-05
66,13200,-200.0,200,0,0.7373399,12201,0.00016548464191146195
67,13400,-200.0,200,0,0.7333599,12401,0.0001473643642384559
68,13600,-200.0,200,0,0.7293799000000001,12601,8.461509423796088e-05
69,13800,-200.0,200,0,0.7253999,12801,0.00012732575123663992
70,14000,-200.0,200,0,0.7214199,13001,0.00012363542919047177
71,14200,-200.0,200,0,0.7174399,13201,0.0001575529749970883
72,14400,-200.0,200,0,0.7134598999999999,13401,0.00011309391993563622
73,14600,-200.0,200,0,0.7094799,13601,8.079719555098563e-05
74,14800,-200.0,200,0,0.7054999,13801,9.258773934561759e-05
75,15000,-200.0,200,0,0.7015199,14001,0.00020538605167530477
76,15200,-200.0,200,0,0.6975399,14201,0.00020985906303394586
77,15400,-200.0,200,0,0.6935599,14401,9.718515502754599e-05
78,15600,-200.0,200,0,0.6895799,14601,5.719988257624209e-05
79,15800,-200.0,200,0,0.6855999,14801,1.8392689526081085e-05
80,16000,-200.0,200,0,0.6816199000000001,15001,3.967540760640986e-05
81,16200,-200.0,200,0,0.6776399,15201,0.00010452214337419719
82,16400,-200.0,200,0,0.6736599000000001,15401,7.717750850133598e-05
83,16600,-200.0,200,0,0.6696799,15601,0.00020206627959851176
84,16800,-200.0,200,0,0.6656999,15801,7.312316301977262e-05
85,17000,-200.0,200,0,0.6617199,16001,0.00017173563537653536
86,17200,-200.0,200,0,0.6577398999999999,16201,0.00011796112084994093
87,17400,-200.0,200,0,0.6537599000000001,16401,8.781735232332721e-05
88,17600,-200.0,200,0,0.6497799,16601,0.00011572741641430184
89,17800,-200.0,200,0,0.6457999,16801,1.6456669982289895e-05
90,18000,-200.0,200,0,0.6418199,17001,8.330791752086952e-05
91,18200,-200.0,200,0,0.6378398999999999,17201,7.47558442526497e-05
92,18400,-200.0,200,0,0.6338599,17401,7.120725786080584e-05
93,18600,-200.0,200,0,0.6298799,17601,0.00014168155030347407
94,18800,-200.0,200,0,0.6258999000000001,17801,9.939668234437704e-05
95,19000,-200.0,200,0,0.6219199,18001,0.00011051881301682442
96,19200,-200.0,200,0,0.6179399,18201,2.4027640392887406e-05
97,19400,-200.0,200,0,0.6139599,18401,5.309852713253349e-05
98,19600,-200.0,200,0,0.6099799,18601,6.0560119891306385e-05
99,19800,-200.0,200,0,0.6059999,18801,0.00019830776727758348
100,20000,-200.0,200,0,0.6020198999999999,19001,0.00019644497660920024
101,20200,-200.0,200,0,0.5980399000000001,19201,4.93887418997474e-05
102,20400,-200.0,200,0,0.5940599,19401,6.587379175471142e-05
103,20600,-200.0,200,0,0.5900799,19601,0.00014683969493489712
104,20800,-200.0,200,0,0.5860999,19801,8.408365829382092e-05
105,21000,-200.0,200,0,0.5821198999999999,20001,4.13406960433349e-05
106,21200,-200.0,200,0,0.5781399,20201,0.0001848006504587829
107,21400,-200.0,200,0,0.5741599,20401,9.857073018793017e-05
108,21600,-200.0,200,0,0.5701799000000001,20601,7.45601937524043e-05
109,21800,-200.0,200,0,0.5661999,20801,0.0001659250119701028
110,22000,-200.0,200,0,0.5622199,21001,9.504667832516134e-05
111,22200,-200.0,200,0,0.5582399,21201,5.731847704737447e-05
112,22400,-200.0,200,0,0.5542599,21401,6.608076364500448e-05
113,22600,-200.0,200,0,0.5502799,21601,0.00010994750482495874
114,22800,-200.0,200,0,0.5462999,21801,0.00011740667832782492
115,23000,-200.0,200,0,0.5423199000000001,22001,0.00011307853128528222
116,23200,-200.0,200,0,0.5383399,22201,0.00023925477580633014
117,23400,-200.0,200,0,0.5343599,22401,0.00013084025704301894
118,23600,-200.0,200,0,0.5303799,22601,0.00010844750795513391
119,23800,-200.0,200,0,0.5263998999999999,22801,0.0003059628652408719
120,24000,-200.0,200,0,0.5224199,23001,0.00010874928557313979
121,24200,-200.0,200,0,0.5184399,23201,5.812103336211294e-05
122,24400,-200.0,200,0,0.5144599,23401,0.00022214405180420727
123,24600,-200.0,200,0,0.5104799,23601,6.013777601765469e-05
124,24800,-200.0,200,0,0.5064999,23801,5.374323154683225e-05
125,25000,-200.0,200,0,0.5025199,24001,0.00018174256547354162
126,25200,-200.0,200,0,0.49853990000000004,24201,0.00026064564008265734
127,25400,-200.0,200,0,0.49455990000000005,24401,0.0001705542381387204
128,25600,-200.0,200,0,0.49057989999999996,24601,0.00023408931156154722
129,25800,-200.0,200,0,0.4865999,24801,0.00012215749302413315
130,26000,-200.0,200,0,0.4826199,25001,9.148854587692767e-05
131,26200,-200.0,200,0,0.4786399,25201,0.00015011141658760607
132,26400,-200.0,200,0,0.4746599,25401,0.0006765576545149088
133,26600,-200.0,200,0,0.47067990000000004,25601,0.00031781825236976147
134,26800,-200.0,200,0,0.46669989999999995,25801,0.0002711582637857646
135,27000,-200.0,200,0,0.46271989999999996,26001,0.0005060215480625629
136,27200,-200.0,200,0,0.4587399,26201,0.00023914777557365596
137,27400,-200.0,200,0,0.4547599,26401,0.0002495933440513909
138,27600,-200.0,200,0,0.4507799,26601,0.0003345501027069986
139,27800,-200.0,200,0,0.4467999,26801,0.00013924298400525004
140,28000,-200.0,200,0,0.44281989999999993,27001,0.00018101799651049078
141,28200,-200.0,200,0,0.43883989999999995,27201,0.0003216178738512099
142,28400,-200.0,200,0,0.43485989999999997,27401,0.0002895752259064466
143,28600,-200.0,200,0,0.4308799,27601,0.00015354606148321182
144,28800,-200.0,200,0,0.4268999,27801,0.00011298318713670596
145,29000,-200.0,200,0,0.4229198999999999,28001,0.00015014353266451508
146,29200,-200.0,200,0,0.4189398999999999,28201,0.0001516193151473999
147,29400,-200.0,200,0,0.41495990000000005,28401,0.0001488757407059893
148,29600,-200.0,200,0,0.41097990000000006,28601,9.20037055038847e-05
149,29800,-200.0,200,0,0.4069999000000001,28801,0.00014951793127693236
150,30000,-200.0,200,0,0.4030199000000001,29001,0.00015371170593425632
151,30200,-200.0,200,0,0.3990399,29201,0.0007466316455975175
152,30400,-200.0,200,0,0.3950599,29401,0.0001942479284480214
