evaluation_episode,evaluation_seed,return,length,success
1,10000,-114.0,114,1
2,10001,-95.0,95,1
3,10002,-109.0,109,1
4,10003,-98.0,98,1
5,10004,-87.0,87,1
6,10005,-118.0,118,1
7,10006,-119.0,119,1
8,10007,-88.0,88,1
9,10008,-182.0,182,1
10,10009,-114.0,114,1
11,10010,-119.0,119,1
12,10011,-114.0,114,1
13,10012,-117.0,117,1
14,10013,-115.0,115,1
15,10014,-119.0,119,1
16,10015,-115.0,115,1
17,10016,-119.0,119,1
18,10017,-199.0,199,1
19,10018,-115.0,115,1
20,10019,-100.0,100,1
21,10020,-118.0,118,1
22,10021,-119.0,119,1
23,10022,-94.0,94,1
24,10023,-102.0,102,1
25,10024,-115.0,115,1
26,10025,-118.0,118,1
27,10026,-85.0,85,1
28,10027,-117.0,117,1
29,10028,-118.0,118,1
30,10029,-115.0,115,1
31,10030,-117.0,117,1
32,10031,-114.0,114,1
33,10032,-83.0,83,1
34,10033,-119.0,119,1
35,10034,-180.0,180,1
36,10035,-115.0,115,1
37,10036,-116.0,116,1
38,10037,-114.0,114,1
39,10038,-86.0,86,1
40,10039,-115.0,115,1
41,10040,-116.0,116,1
42,10041,-196.0,196,1
43,10042,-101.0,101,1
44,10043,-90.0,90,1
45,10044,-151.0,151,1
46,10045,-97.0,97,1
47,10046,-114.0,114,1
48,10047,-199.0,199,1
49,10048,-178.0,178,1
50,10049,-114.0,114,1
51,10050,-116.0,116,1
52,10051,-118.0,118,1
53,10052,-114.0,114,1
54,10053,-115.0,115,1
55,10054,-100.0,100,1
56,10055,-118.0,118,1
57,10056,-116.0,116,1
58,10057,-116.0,116,1
59,10058,-118.0,118,1
60,10059,-118.0,118,1
61,10060,-115.0,115,1
62,10061,-177.0,177,1
63,10062,-87.0,87,1
64,10063,-118.0,118,1
65,10064,-84.0,84,1
66,10065,-118.0,118,1
67,10066,-117.0,117,1
68,10067,-118.0,118,1
69,10068,-87.0,87,1
70,10069,-84.0,84,1
71,10070,-119.0,119,1
72,10071,-115.0,115,1
73,10072,-116.0,116,1
74,10073,-86.0,86,1
75,10074,-90.0,90,1
76,10075,-116.0,116,1
77,10076,-102.0,102,1
78,10077,-115.0,115,1
79,10078,-200.0,200,0
80,10079,-118.0,118,1
81,10080,-118.0,118,1
82,10081,-87.0,87,1
83,10082,-182.0,182,1
84,10083,-116.0,116,1
85,10084,-115.0,115,1
86,10085,-115.0,115,1
87,10086,-114.0,114,1
88,10087,-118.0,118,1
89,10088,-120.0,120,1
90,10089,-99.0,99,1
91,10090,-117.0,117,1
92,10091,-116.0,116,1
93,10092,-115.0,115,1
94,10093,-86.0,86,1
95,10094,-119.0,119,1
96,10095,-101.0,101,1
97,10096,-115.0,115,1
98,10097,-114.0,114,1
99,10098,-114.0,114,1
100,10099,-111.0,111,1
