episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.41376203298568726
6,1200,-200.0,200,0,0.9761399,201,0.0003327558224555105
7,1400,-200.0,200,0,0.9721599,401,0.0003795249795075506
8,1600,-200.0,200,0,0.9681799,601,0.0003462732129264623
9,1800,-200.0,200,0,0.9641999,801,0.0002501350245438516
10,2000,-200.0,200,0,0.9602199,1001,0.0003870811779052019
11,2200,-200.0,200,0,0.9562399,1201,0.0002739632036536932
12,2400,-200.0,200,0,0.9522599,1401,0.0004034344747196883
13,2600,-200.0,200,0,0.9482799,1601,0.0002628496440593153
14,2800,-200.0,200,0,0.9442999,1801,0.0004595439531840384
15,3000,-200.0,200,0,0.9403199,2001,0.0004479327180888504
16,3200,-200.0,200,0,0.9363399,2201,0.000255331106018275
17,3400,-200.0,200,0,0.9323599,2401,0.00041349680395796895
18,3600,-200.0,200,0,0.9283799,2601,0.00030997226713225245
19,3800,-200.0,200,0,0.9243999,2801,0.0005074313376098871
20,4000,-200.0,200,0,0.9204199,3001,0.000635325675830245
21,4200,-200.0,200,0,0.9164399,3201,0.0002524078299757093
22,4400,-200.0,200,0,0.9124599,3401,0.0003610739076975733
23,4600,-200.0,200,0,0.9084799,3601,0.0002975217066705227
24,4800,-200.0,200,0,0.9044999,3801,0.00038828590186312795
25,5000,-200.0,200,0,0.9005199,4001,0.0004872267600148916
26,5200,-200.0,200,0,0.8965399000000001,4201,0.00021638275939039886
27,5400,-200.0,200,0,0.8925599,4401,0.0002715671434998512
28,5600,-200.0,200,0,0.8885799,4601,0.0003993636928498745
29,5800,-200.0,200,0,0.8845999,4801,0.0002189191582147032
30,6000,-200.0,200,0,0.8806199,5001,0.00014414351608138531
31,6200,-200.0,200,0,0.8766399,5201,8.721085760043934e-05
32,6400,-200.0,200,0,0.8726598999999999,5401,9.103775664698333e-05
33,6600,-200.0,200,0,0.8686799000000001,5601,8.735715528018773e-05
34,6800,-200.0,200,0,0.8646999,5801,2.5777038899832405e-05
35,7000,-200.0,200,0,0.8607199,6001,3.3078242267947644e-05
36,7200,-200.0,200,0,0.8567399,6201,0.00011391821317374706
37,7400,-200.0,200,0,0.8527599,6401,2.8288557587075047e-05
38,7600,-200.0,200,0,0.8487799,6601,2.0227485947543755e-05
39,7800,-200.0,200,0,0.8447998999999999,6801,7.2760674811434e-05
40,8000,-200.0,200,0,0.8408199,7001,9.39644542086171e-06
41,8200,-200.0,200,0,0.8368399,7201,1.8281250959262252e-05
42,8400,-200.0,200,0,0.8328599,7401,2.308323200850282e-05
43,8600,-200.0,200,0,0.8288799,7601,3.3043805160559714e-05
44,8800,-200.0,200,0,0.8248999,7801,5.997710832161829e-05
45,9000,-200.0,200,0,0.8209199,8001,7.139652734622359e-05
46,9200,-200.0,200,0,0.8169398999999999,8201,8.665149653097615e-05
47,9400,-200.0,200,0,0.8129599,8401,0.0002032015472650528
48,9600,-200.0,200,0,0.8089799,8601,0.00015711804735474288
49,9800,-200.0,200,0,0.8049999,8801,1.3370485248742625e-05
50,10000,-200.0,200,0,0.8010199,9001,9.330193279311061e-05
51,10200,-200.0,200,0,0.7970399,9201,0.00010829783423105255
52,10400,-200.0,200,0,0.7930599,9401,0.00012368621537461877
53,10600,-200.0,200,0,0.7890799,9601,5.033935303799808e-05
54,10800,-200.0,200,0,0.7850999,9801,7.07469807821326e-05
55,11000,-200.0,200,0,0.7811199,10001,3.56288583134301e-05
56,11200,-200.0,200,0,0.7771399,10201,2.327013498870656e-05
57,11400,-200.0,200,0,0.7731599,10401,5.392717866925523e-05
58,11600,-200.0,200,0,0.7691799,10601,3.8818201574031264e-05
59,11800,-200.0,200,0,0.7651999,10801,3.481118255876936e-05
60,12000,-200.0,200,0,0.7612199,11001,7.283307786565274e-05
61,12200,-200.0,200,0,0.7572399,11201,3.159143670927733e-05
62,12400,-200.0,200,0,0.7532599,11401,1.8126345821656287e-05
63,12600,-200.0,200,0,0.7492799,11601,0.00012414839875418693
64,12800,-200.0,200,0,0.7452999,11801,0.00010948131239274517
65,13000,-200.0,200,0,0.7413199,12001,0.00012683974637184292
66,13200,-200.0,200,0,0.7373399,12201,3.9212209230754524e-05
67,13400,-200.0,200,0,0.7333599,12401,6.954374111955985e-05
68,13600,-200.0,200,0,0.7293799000000001,12601,7.680084672756493e-05
69,13800,-200.0,200,0,0.7253999,12801,1.221780439664144e-05
70,14000,-200.0,200,0,0.7214199,13001,1.6325848264386877e-05
71,14200,-200.0,200,0,0.7174399,13201,1.7637830751482397e-05
72,14400,-200.0,200,0,0.7134598999999999,13401,6.234629836399108e-05
73,14600,-200.0,200,0,0.7094799,13601,8.880051609594375e-05
74,14800,-200.0,200,0,0.7054999,13801,3.983319038525224e-05
75,15000,-200.0,200,0,0.7015199,14001,0.00010283175652148202
76,15200,-200.0,200,0,0.6975399,14201,0.00011214982077945024
77,15400,-200.0,200,0,0.6935599,14401,5.928269820287824e-05
78,15600,-200.0,200,0,0.6895799,14601,7.470277341781184e-05
79,15800,-200.0,200,0,0.6855999,14801,0.00011459461529739201
80,16000,-200.0,200,0,0.6816199000000001,15001,5.87851318414323e-05
81,16200,-200.0,200,0,0.6776399,15201,4.359145532362163e-05
82,16400,-200.0,200,0,0.6736599000000001,15401,6.462750661739847e-06
83,16600,-200.0,200,0,0.6696799,15601,5.110454367240891e-05
84,16800,-200.0,200,0,0.6656999,15801,0.00019051731214858592
85,17000,-200.0,200,0,0.6617199,16001,3.815592572209425e-05
86,17200,-200.0,200,0,0.6577398999999999,16201,2.200446579081472e-05
87,17400,-200.0,200,0,0.6537599000000001,16401,5.156000406714156e-05
88,17600,-200.0,200,0,0.6497799,16601,0.00024536153068766
89,17800,-200.0,200,0,0.6457999,16801,5.9856625739485025e-05
90,18000,-200.0,200,0,0.6418199,17001,7.66806915635243e-05
91,18200,-200.0,200,0,0.6378398999999999,17201,3.225559339625761e-05
92,18400,-200.0,200,0,0.6338599,17401,0.00012830994091928005
93,18600,-200.0,200,0,0.6298799,17601,0.00018345082935411483
94,18800,-200.0,200,0,0.6258999000000001,17801,4.490462379180826e-05
95,19000,-200.0,200,0,0.6219199,18001,7.136994099710137e-05
96,19200,-200.0,200,0,0.6179399,18201,0.00016178865917026997
97,19400,-200.0,200,0,0.6139599,18401,0.00014417077181860805
98,19600,-200.0,200,0,0.6099799,18601,4.543909744825214e-05
99,19800,-200.0,200,0,0.6059999,18801,9.17294091777876e-05
100,20000,-200.0,200,0,0.6020198999999999,19001,0.0001570024323882535
101,20200,-200.0,200,0,0.5980399000000001,19201,2.678328746696934e-05
102,20400,-200.0,200,0,0.5940599,19401,0.00010249826300423592
103,20600,-200.0,200,0,0.5900799,19601,6.169290281832218e-05
104,20800,-200.0,200,0,0.5860999,19801,0.00018265534890815616
105,21000,-200.0,200,0,0.5821198999999999,20001,0.00016228202730417252
106,21200,-200.0,200,0,0.5781399,20201,3.895899135386571e-05
107,21400,-200.0,200,0,0.5741599,20401,1.6554778994759545e-05
108,21600,-200.0,200,0,0.5701799000000001,20601,8.272208651760593e-05
109,21800,-200.0,200,0,0.5661999,20801,2.5099290724028833e-05
110,22000,-200.0,200,0,0.5622199,21001,4.115511546842754e-05
111,22200,-200.0,200,0,0.5582399,21201,6.543945346493274e-05
112,22400,-200.0,200,0,0.5542599,21401,2.1872492652619258e-05
113,22600,-200.0,200,0,0.5502799,21601,9.888895874610171e-05
114,22800,-200.0,200,0,0.5462999,21801,8.670060924487188e-05
115,23000,-200.0,200,0,0.5423199000000001,22001,0.00022121459187474102
116,23200,-200.0,200,0,0.5383399,22201,5.033528577769175e-05
117,23400,-200.0,200,0,0.5343599,22401,0.00012866499309893698
118,23600,-200.0,200,0,0.5303799,22601,0.00020483497064560652
119,23800,-200.0,200,0,0.5263998999999999,22801,0.00010217991075478494
120,24000,-200.0,200,0,0.5224199,23001,9.006705658975989e-05
121,24200,-200.0,200,0,0.5184399,23201,0.0001988302101381123
122,24400,-200.0,200,0,0.5144599,23401,5.96984064031858e-05
123,24600,-200.0,200,0,0.5104799,23601,3.9602578908670694e-05
124,24800,-200.0,200,0,0.5064999,23801,0.0001651376369409263
125,25000,-200.0,200,0,0.5025199,24001,0.0001925617252709344
126,25200,-200.0,200,0,0.49853990000000004,24201,0.00031347357435151935
127,25400,-200.0,200,0,0.49455990000000005,24401,0.000173415697645396
128,25600,-200.0,200,0,0.49057989999999996,24601,8.890250319382176e-05
129,25800,-200.0,200,0,0.4865999,24801,2.363064413657412e-05
130,26000,-200.0,200,0,0.4826199,25001,5.958663678029552e-05
131,26200,-200.0,200,0,0.4786399,25201,9.774217323865741e-05
132,26400,-200.0,200,0,0.4746599,25401,7.29794628568925e-05
133,26600,-200.0,200,0,0.47067990000000004,25601,0.00010738958371803164
134,26800,-200.0,200,0,0.46669989999999995,25801,0.0003766225418075919
135,27000,-200.0,200,0,0.46271989999999996,26001,4.398222881718539e-05
136,27200,-200.0,200,0,0.4587399,26201,6.124460196588188e-05
137,27400,-200.0,200,0,0.4547599,26401,0.00045663584023714066
138,27600,-200.0,200,0,0.4507799,26601,0.00017382568330504
139,27800,-200.0,200,0,0.4467999,26801,0.00015170345432125032
140,28000,-200.0,200,0,0.44281989999999993,27001,0.0009603154612705112
141,28200,-200.0,200,0,0.43883989999999995,27201,5.372228770283982e-05
142,28400,-200.0,200,0,0.43485989999999997,27401,8.274885476566851e-05
143,28600,-200.0,200,0,0.4308799,27601,4.257671389495954e-05
144,28800,-200.0,200,0,0.4268999,27801,0.00010799799929372966
145,29000,-200.0,200,0,0.4229198999999999,28001,9.356862574350089e-05
146,29200,-200.0,200,0,0.4189398999999999,28201,7.603886479046196e-05
147,29400,-200.0,200,0,0.41495990000000005,28401,2.4847116947057657e-05
148,29600,-200.0,200,0,0.41097990000000006,28601,0.00010562259558355436
149,29800,-200.0,200,0,0.4069999000000001,28801,0.00010309625940863043
150,30000,-200.0,200,0,0.4030199000000001,29001,0.0004327491915319115
151,30200,-200.0,200,0,0.3990399,29201,1.7943419152288698e-05
152,30400,-200.0,200,0,0.3950599,29401,7.05638958606869e-05
