evaluation_episode,evaluation_seed,return,length,success
1,10000,-154.0,154,1
2,10001,-94.0,94,1
3,10002,-109.0,109,1
4,10003,-96.0,96,1
5,10004,-87.0,87,1
6,10005,-142.0,142,1
7,10006,-140.0,140,1
8,10007,-88.0,88,1
9,10008,-161.0,161,1
10,10009,-154.0,154,1
11,10010,-139.0,139,1
12,10011,-151.0,151,1
13,10012,-108.0,108,1
14,10013,-148.0,148,1
15,10014,-139.0,139,1
16,10015,-150.0,150,1
17,10016,-109.0,109,1
18,10017,-165.0,165,1
19,10018,-148.0,148,1
20,10019,-100.0,100,1
21,10020,-109.0,109,1
22,10021,-141.0,141,1
23,10022,-93.0,93,1
24,10023,-102.0,102,1
25,10024,-109.0,109,1
26,10025,-118.0,118,1
27,10026,-85.0,85,1
28,10027,-143.0,143,1
29,10028,-143.0,143,1
30,10029,-109.0,109,1
31,10030,-143.0,143,1
32,10031,-108.0,108,1
33,10032,-83.0,83,1
34,10033,-109.0,109,1
35,10034,-160.0,160,1
36,10035,-109.0,109,1
37,10036,-108.0,108,1
38,10037,-153.0,153,1
39,10038,-86.0,86,1
40,10039,-109.0,109,1
41,10040,-146.0,146,1
42,10041,-164.0,164,1
43,10042,-101.0,101,1
44,10043,-89.0,89,1
45,10044,-189.0,189,1
46,10045,-96.0,96,1
47,10046,-153.0,153,1
48,10047,-165.0,165,1
49,10048,-160.0,160,1
50,10049,-155.0,155,1
51,10050,-144.0,144,1
52,10051,-142.0,142,1
53,10052,-154.0,154,1
54,10053,-147.0,147,1
55,10054,-100.0,100,1
56,10055,-142.0,142,1
57,10056,-146.0,146,1
58,10057,-144.0,144,1
59,10058,-142.0,142,1
60,10059,-143.0,143,1
61,10060,-148.0,148,1
62,10061,-159.0,159,1
63,10062,-87.0,87,1
64,10063,-142.0,142,1
65,10064,-84.0,84,1
66,10065,-141.0,141,1
67,10066,-143.0,143,1
68,10067,-118.0,118,1
69,10068,-87.0,87,1
70,10069,-84.0,84,1
71,10070,-139.0,139,1
72,10071,-148.0,148,1
73,10072,-144.0,144,1
74,10073,-86.0,86,1
75,10074,-89.0,89,1
76,10075,-144.0,144,1
77,10076,-102.0,102,1
78,10077,-147.0,147,1
79,10078,-165.0,165,1
80,10079,-142.0,142,1
81,10080,-142.0,142,1
82,10081,-87.0,87,1
83,10082,-161.0,161,1
84,10083,-147.0,147,1
85,10084,-109.0,109,1
86,10085,-149.0,149,1
87,10086,-154.0,154,1
88,10087,-142.0,142,1
89,10088,-120.0,120,1
90,10089,-97.0,97,1
91,10090,-143.0,143,1
92,10091,-144.0,144,1
93,10092,-109.0,109,1
94,10093,-86.0,86,1
95,10094,-140.0,140,1
96,10095,-101.0,101,1
97,10096,-148.0,148,1
98,10097,-154.0,154,1
99,10098,-154.0,154,1
100,10099,-111.0,111,1
