episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.4523613452911377
6,1200,-200.0,200,0,0.9761399,201,0.00032252786331810057
7,1400,-200.0,200,0,0.9721599,401,0.0003264457336626947
8,1600,-200.0,200,0,0.9681799,601,0.00023252087703440338
9,1800,-200.0,200,0,0.9641999,801,0.00030234322184696794
10,2000,-200.0,200,0,0.9602199,1001,0.0003736310754902661
11,2200,-200.0,200,0,0.9562399,1201,0.00043656519846990705
12,2400,-200.0,200,0,0.9522599,1401,0.00034704021527431905
13,2600,-200.0,200,0,0.9482799,1601,0.000395068695070222
14,2800,-200.0,200,0,0.9442999,1801,0.0002228080847999081
15,3000,-200.0,200,0,0.9403199,2001,0.00034618822974152863
16,3200,-200.0,200,0,0.9363399,2201,0.00028911951812915504
17,3400,-200.0,200,0,0.9323599,2401,0.0004509826540015638
18,3600,-200.0,200,0,0.9283799,2601,0.00042942381696775556
19,3800,-200.0,200,0,0.9243999,2801,0.00035399157786741853
20,4000,-200.0,200,0,0.9204199,3001,0.0004165411810390651
21,4200,-200.0,200,0,0.9164399,3201,0.0003215800388716161
22,4400,-200.0,200,0,0.9124599,3401,0.0003695799969136715
23,4600,-200.0,200,0,0.9084799,3601,0.0003226168919354677
24,4800,-200.0,200,0,0.9044999,3801,0.00031205941922962666
25,5000,-200.0,200,0,0.9005199,4001,0.0001366032229270786
26,5200,-200.0,200,0,0.8965399000000001,4201,0.00017367376131005585
27,5400,-200.0,200,0,0.8925599,4401,0.00014622900926042348
28,5600,-200.0,200,0,0.8885799,4601,0.0001437752798665315
29,5800,-200.0,200,0,0.8845999,4801,0.00011063521378673613
30,6000,-200.0,200,0,0.8806199,5001,7.249978079926223e-05
31,6200,-200.0,200,0,0.8766399,5201,5.957850589766167e-05
32,6400,-200.0,200,0,0.8726598999999999,5401,4.251693462720141e-05
33,6600,-200.0,200,0,0.8686799000000001,5601,3.8674559618812054e-05
34,6800,-200.0,200,0,0.8646999,5801,9.697853784018662e-06
35,7000,-200.0,200,0,0.8607199,6001,6.617886811000062e-06
36,7200,-200.0,200,0,0.8567399,6201,2.78074503512471e-06
37,7400,-200.0,200,0,0.8527599,6401,5.5169716688396875e-06
38,7600,-200.0,200,0,0.8487799,6601,4.361625087767607e-06
39,7800,-200.0,200,0,0.8447998999999999,6801,1.3183777809899766e-05
40,8000,-200.0,200,0,0.8408199,7001,1.0450541594764218e-05
41,8200,-200.0,200,0,0.8368399,7201,3.3830167467385763e-06
42,8400,-200.0,200,0,0.8328599,7401,3.055336856050417e-05
43,8600,-200.0,200,0,0.8288799,7601,5.023244739277288e-05
44,8800,-200.0,200,0,0.8248999,7801,1.9833854821627028e-05
45,9000,-200.0,200,0,0.8209199,8001,1.3219257198215928e-05
46,9200,-200.0,200,0,0.8169398999999999,8201,2.7109930670121685e-05
47,9400,-200.0,200,0,0.8129599,8401,1.3712889085581992e-05
48,9600,-200.0,200,0,0.8089799,8601,1.7642303646425717e-05
49,9800,-200.0,200,0,0.8049999,8801,3.3308129786746576e-05
50,10000,-200.0,200,0,0.8010199,9001,1.2245491234352812e-05
51,10200,-200.0,200,0,0.7970399,9201,1.4500560610031243e-05
52,10400,-200.0,200,0,0.7930599,9401,1.697952211543452e-05
53,10600,-200.0,200,0,0.7890799,9601,1.4689687304780819e-05
54,10800,-200.0,200,0,0.7850999,9801,2.2073905711295083e-05
55,11000,-200.0,200,0,0.7811199,10001,3.3611286198720336e-05
56,11200,-200.0,200,0,0.7771399,10201,1.699413769529201e-05
57,11400,-200.0,200,0,0.7731599,10401,1.1674862435029354e-05
58,11600,-200.0,200,0,0.7691799,10601,1.824714126996696e-05
59,11800,-200.0,200,0,0.7651999,10801,1.730082294670865e-05
60,12000,-200.0,200,0,0.7612199,11001,2.2959877242101356e-05
61,12200,-200.0,200,0,0.7572399,11201,1.19773449114291e-05
62,12400,-200.0,200,0,0.7532599,11401,1.0804867997649126e-05
63,12600,-200.0,200,0,0.7492799,11601,1.6720550775062293e-05
64,12800,-200.0,200,0,0.7452999,11801,2.2960988644626923e-05
65,13000,-200.0,200,0,0.7413199,12001,3.8986381696304306e-05
66,13200,-200.0,200,0,0.7373399,12201,4.113054455956444e-05
67,13400,-200.0,200,0,0.7333599,12401,1.973356665985193e-05
68,13600,-200.0,200,0,0.7293799000000001,12601,1.9033326680073515e-05
69,13800,-200.0,200,0,0.7253999,12801,3.8121674151625484e-05
70,14000,-200.0,200,0,0.7214199,13001,1.4864393961033784e-05
71,14200,-200.0,200,0,0.7174399,13201,1.5494351828237996e-05
72,14400,-200.0,200,0,0.7134598999999999,13401,6.172171561047435e-05
73,14600,-200.0,200,0,0.7094799,13601,1.941471236932557e-05
74,14800,-200.0,200,0,0.7054999,13801,1.9268449250375852e-05
75,15000,-200.0,200,0,0.7015199,14001,4.46942649432458e-05
76,15200,-200.0,200,0,0.6975399,14201,4.275323954061605e-05
77,15400,-200.0,200,0,0.6935599,14401,2.157960261683911e-05
78,15600,-200.0,200,0,0.6895799,14601,3.000065771630034e-05
79,15800,-200.0,200,0,0.6855999,14801,0.00010201988334301859
80,16000,-200.0,200,0,0.6816199000000001,15001,1.744382461765781e-05
81,16200,-200.0,200,0,0.6776399,15201,0.00016437398153357208
82,16400,-200.0,200,0,0.6736599000000001,15401,1.959633664228022e-05
83,16600,-200.0,200,0,0.6696799,15601,3.534583083819598e-05
84,16800,-200.0,200,0,0.6656999,15801,0.00010768216452561319
85,17000,-200.0,200,0,0.6617199,16001,1.8350317986914888e-05
86,17200,-200.0,200,0,0.6577398999999999,16201,4.7148936573648825e-05
87,17400,-200.0,200,0,0.6537599000000001,16401,9.6680894785095e-05
88,17600,-200.0,200,0,0.6497799,16601,3.445326365181245e-05
89,17800,-200.0,200,0,0.6457999,16801,6.427886546589434e-05
90,18000,-200.0,200,0,0.6418199,17001,4.700494173448533e-05
91,18200,-200.0,200,0,0.6378398999999999,17201,1.9656230506370775e-05
92,18400,-200.0,200,0,0.6338599,17401,2.3801272618584335e-05
93,18600,-200.0,200,0,0.6298799,17601,3.5457491321722046e-05
94,18800,-200.0,200,0,0.6258999000000001,17801,7.434184226440266e-05
95,19000,-200.0,200,0,0.6219199,18001,8.317233005072922e-05
96,19200,-200.0,200,0,0.6179399,18201,6.265212141443044e-05
97,19400,-200.0,200,0,0.6139599,18401,4.255770909367129e-05
98,19600,-200.0,200,0,0.6099799,18601,7.392135557893198e-06
99,19800,-200.0,200,0,0.6059999,18801,2.659488563949708e-05
100,20000,-200.0,200,0,0.6020198999999999,19001,3.064399425056763e-05
101,20200,-200.0,200,0,0.5980399000000001,19201,6.0104190197307616e-05
102,20400,-200.0,200,0,0.5940599,19401,3.355738954269327e-05
103,20600,-200.0,200,0,0.5900799,19601,4.7720073780510575e-05
104,20800,-200.0,200,0,0.5860999,19801,5.665680509991944e-05
105,21000,-200.0,200,0,0.5821198999999999,20001,1.5294126569642685e-05
106,21200,-200.0,200,0,0.5781399,20201,9.250912262359634e-05
107,21400,-200.0,200,0,0.5741599,20401,1.7421367374481633e-05
108,21600,-200.0,200,0,0.5701799000000001,20601,3.632793595897965e-05
109,21800,-200.0,200,0,0.5661999,20801,1.7059644960681908e-05
110,22000,-200.0,200,0,0.5622199,21001,7.869202818255872e-05
111,22200,-200.0,200,0,0.5582399,21201,3.138143802061677e-05
112,22400,-200.0,200,0,0.5542599,21401,4.5961533032823354e-05
113,22600,-200.0,200,0,0.5502799,21601,3.3387390431016684e-05
114,22800,-200.0,200,0,0.5462999,21801,5.1602204621303827e-05
115,23000,-200.0,200,0,0.5423199000000001,22001,6.192552973516285e-05
116,23200,-200.0,200,0,0.5383399,22201,0.00011384844401618466
117,23400,-200.0,200,0,0.5343599,22401,7.366457430180162e-05
118,23600,-200.0,200,0,0.5303799,22601,2.5393823307240382e-05
119,23800,-200.0,200,0,0.5263998999999999,22801,9.312190741184168e-06
120,24000,-200.0,200,0,0.5224199,23001,2.7933434466831386e-05
121,24200,-200.0,200,0,0.5184399,23201,5.975274689262733e-05
122,24400,-200.0,200,0,0.5144599,23401,5.1582530431915075e-05
123,24600,-200.0,200,0,0.5104799,23601,0.0001007050959742628
124,24800,-200.0,200,0,0.5064999,23801,2.138680429197848e-05
125,25000,-200.0,200,0,0.5025199,24001,0.0001639591937419027
126,25200,-200.0,200,0,0.49853990000000004,24201,8.627914940007031e-05
127,25400,-200.0,200,0,0.49455990000000005,24401,8.828450518194586e-05
128,25600,-200.0,200,0,0.49057989999999996,24601,5.907811282668263e-05
129,25800,-200.0,200,0,0.4865999,24801,0.00011894320778083056
130,26000,-200.0,200,0,0.4826199,25001,8.623419853392988e-05
131,26200,-200.0,200,0,0.4786399,25201,3.417133848415688e-05
132,26400,-200.0,200,0,0.4746599,25401,3.973830462200567e-05
133,26600,-200.0,200,0,0.47067990000000004,25601,2.46898562181741e-05
134,26800,-200.0,200,0,0.46669989999999995,25801,5.0451890274416655e-05
135,27000,-200.0,200,0,0.46271989999999996,26001,0.00011659806477837265
136,27200,-200.0,200,0,0.4587399,26201,2.439085437799804e-05
137,27400,-200.0,200,0,0.4547599,26401,1.6967484043561853e-05
138,27600,-200.0,200,0,0.4507799,26601,8.63023306010291e-05
139,27800,-200.0,200,0,0.4467999,26801,5.950647755526006e-05
140,28000,-200.0,200,0,0.44281989999999993,27001,4.266759060556069e-05
141,28200,-200.0,200,0,0.43883989999999995,27201,1.9272032659500837e-05
142,28400,-200.0,200,0,0.43485989999999997,27401,1.5932908354443498e-05
143,28600,-200.0,200,0,0.4308799,27601,6.115767610026523e-05
144,28800,-200.0,200,0,0.4268999,27801,0.00022331735817715526
145,29000,-200.0,200,0,0.4229198999999999,28001,5.92891447013244e-05
146,29200,-200.0,200,0,0.4189398999999999,28201,1.7239155567949638e-05
147,29400,-200.0,200,0,0.41495990000000005,28401,3.9662558265263215e-05
148,29600,-200.0,200,0,0.41097990000000006,28601,7.483592980861431e-06
149,29800,-200.0,200,0,0.4069999000000001,28801,0.0001683678710833192
150,30000,-200.0,200,0,0.4030199000000001,29001,2.5219071176252328e-05
