episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.4523613452911377
6,1200,-200.0,200,0,0.9761399,201,0.0003225276595912874
7,1400,-200.0,200,0,0.9721599,401,0.0003264463448431343
8,1600,-200.0,200,0,0.9681799,601,0.00023251722450368106
9,1800,-200.0,200,0,0.9641999,801,0.0003023442695848644
10,2000,-200.0,200,0,0.9602199,1001,0.00037363756564445794
