episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.9960399,2,198,0,0,
2,400,0.0,200,0,0.9920599,0,200,0,0,
3,600,0.0,200,0,0.9880799,5,195,0,0,
4,800,0.0,200,0,0.9840999,2,198,0,0,
5,1000,0.0,200,0,0.9801199,5,195,0,1,0.002335744211450219
6,1200,0.0,200,0,0.9761399,5,195,2,201,1.1402591582054811e-07
7,1400,0.0,200,0,0.9721599,6,194,2,401,5.7332890435191075e-08
8,1600,0.0,200,0,0.9681799,4,196,2,601,2.82264913664676e-08
9,1800,0.0,200,0,0.9641999,7,193,5,801,1.4112505830610189e-08
10,2000,0.0,200,0,0.9602199,7,193,4,1001,8.869866618965716e-09
