episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.9960399,0,
2,400,0.0,200,0,0.9920599,0,
3,600,0.0,200,0,0.9880799,0,
4,800,0.0,200,0,0.9840999,0,
5,1000,0.0,200,0,0.9801199,1,0.002335744211450219
6,1200,0.0,200,0,0.9761399,201,6.33983319175968e-08
7,1400,0.0,200,0,0.9721599,401,1.3895212980230554e-08
8,1600,0.0,200,0,0.9681799,601,3.377665791504114e-08
9,1800,0.0,200,0,0.9641999,801,2.992372927224096e-08
10,2000,0.0,200,0,0.9602199,1001,4.969609079807924e-08
